ip,ip_type,isp,city,state,country,note
198.18.139.93,residential,Crestline DSL,Brooklyn,NY,US,
198.18.177.100,residential,Brightwave Cable,Cleveland,OH,US,
198.18.60.170,residential,Crestline DSL,Westerville,OH,US,
198.18.67.243,residential,Metrolink Fiber,Cleveland,OH,US,
198.18.4.213,residential,Brightwave Cable,Los Angeles,CA,US,
198.18.117.101,residential,Crestline DSL,Brooklyn,NY,US,
198.18.153.186,residential,Brightwave Cable,Brooklyn,NY,US,
198.18.148.14,residential,Brightwave Cable,Austin,TX,US,
198.18.215.24,residential,Metrolink Fiber,Westerville,OH,US,
198.18.241.85,residential,Brightwave Cable,Cleveland,OH,US,
198.18.114.56,residential,Crestline DSL,Brooklyn,NY,US,
198.18.136.206,residential,Metrolink Fiber,Boston,MA,US,
198.18.124.244,residential,Brightwave Cable,Los Angeles,CA,US,
198.18.133.190,residential,Brightwave Cable,Seattle,WA,US,
198.18.214.236,residential,Metrolink Fiber,Columbus,OH,US,
198.18.166.82,residential,Brightwave Cable,Los Angeles,CA,US,
198.18.129.201,residential,Brightwave Cable,Columbus,OH,US,
198.18.25.149,residential,Metrolink Fiber,Pittsburgh,PA,US,
198.18.87.246,residential,Brightwave Cable,Seattle,WA,US,
198.18.61.71,residential,Brightwave Cable,Denver,CO,US,
198.18.156.26,residential,Brightwave Cable,Brooklyn,NY,US,
198.18.175.197,residential,Metrolink Fiber,Denver,CO,US,
198.18.87.15,residential,Metrolink Fiber,Columbus,OH,US,
198.18.108.87,residential,Crestline DSL,Los Angeles,CA,US,
198.18.26.202,residential,Crestline DSL,Denver,CO,US,
198.18.65.133,residential,Crestline DSL,Columbus,OH,US,
198.18.231.169,residential,Metrolink Fiber,Austin,TX,US,
198.18.78.203,residential,Metrolink Fiber,Brooklyn,NY,US,
198.18.222.28,residential,Brightwave Cable,Pittsburgh,PA,US,
198.18.82.111,residential,Brightwave Cable,Columbus,OH,US,
198.18.56.158,residential,Brightwave Cable,Pittsburgh,PA,US,
198.19.250.60,mobile_cgnat,Relaywave Mobile,Columbus,OH,US,carrier-grade NAT; shared by many subscribers
198.19.250.10,mobile_cgnat,Relaywave Mobile,Columbus,OH,US,carrier-grade NAT; shared by many subscribers
198.19.250.12,mobile_cgnat,Relaywave Mobile,Columbus,OH,US,carrier-grade NAT; shared by many subscribers
198.19.250.34,mobile_cgnat,Relaywave Mobile,Columbus,OH,US,carrier-grade NAT; shared by many subscribers
198.19.250.44,mobile_cgnat,Relaywave Mobile,Columbus,OH,US,carrier-grade NAT; shared by many subscribers
198.19.250.11,mobile_cgnat,Relaywave Mobile,Columbus,OH,US,carrier-grade NAT; shared by many subscribers
198.19.250.17,mobile_cgnat,Relaywave Mobile,Columbus,OH,US,carrier-grade NAT; shared by many subscribers
198.19.250.9,mobile_cgnat,Relaywave Mobile,Columbus,OH,US,carrier-grade NAT; shared by many subscribers
198.19.250.49,mobile_cgnat,Relaywave Mobile,Denver,CO,US,carrier-grade NAT; shared by many subscribers
198.19.250.48,mobile_cgnat,Relaywave Mobile,Denver,CO,US,carrier-grade NAT; shared by many subscribers
198.19.250.55,mobile_cgnat,Relaywave Mobile,Denver,CO,US,carrier-grade NAT; shared by many subscribers
198.19.250.26,mobile_cgnat,Relaywave Mobile,Denver,CO,US,carrier-grade NAT; shared by many subscribers
198.19.250.16,mobile_cgnat,Relaywave Mobile,Chicago,IL,US,carrier-grade NAT; shared by many subscribers
198.19.250.23,mobile_cgnat,Relaywave Mobile,Chicago,IL,US,carrier-grade NAT; shared by many subscribers
198.19.250.43,mobile_cgnat,Relaywave Mobile,Chicago,IL,US,carrier-grade NAT; shared by many subscribers
198.19.250.32,mobile_cgnat,Relaywave Mobile,Chicago,IL,US,carrier-grade NAT; shared by many subscribers
198.19.250.27,mobile_cgnat,Relaywave Mobile,Cleveland,OH,US,carrier-grade NAT; shared by many subscribers
198.19.250.39,mobile_cgnat,Relaywave Mobile,Cleveland,OH,US,carrier-grade NAT; shared by many subscribers
198.19.250.20,mobile_cgnat,Relaywave Mobile,Cleveland,OH,US,carrier-grade NAT; shared by many subscribers
198.19.250.59,mobile_cgnat,Relaywave Mobile,Cleveland,OH,US,carrier-grade NAT; shared by many subscribers
198.19.250.37,mobile_cgnat,Relaywave Mobile,Cleveland,OH,US,carrier-grade NAT; shared by many subscribers
198.19.250.51,mobile_cgnat,Relaywave Mobile,Cleveland,OH,US,carrier-grade NAT; shared by many subscribers
198.19.250.54,mobile_cgnat,Relaywave Mobile,Cleveland,OH,US,carrier-grade NAT; shared by many subscribers
198.19.250.7,mobile_cgnat,Relaywave Mobile,Brooklyn,NY,US,carrier-grade NAT; shared by many subscribers
198.19.250.56,mobile_cgnat,Relaywave Mobile,Brooklyn,NY,US,carrier-grade NAT; shared by many subscribers
198.19.250.14,mobile_cgnat,Relaywave Mobile,Columbus,OH,US,carrier-grade NAT; shared by many subscribers
198.19.250.40,mobile_cgnat,Relaywave Mobile,Columbus,OH,US,carrier-grade NAT; shared by many subscribers
198.19.250.1,mobile_cgnat,Relaywave Mobile,Westerville,OH,US,carrier-grade NAT; shared by many subscribers
198.19.250.6,mobile_cgnat,Relaywave Mobile,Westerville,OH,US,carrier-grade NAT; shared by many subscribers
198.19.250.47,mobile_cgnat,Relaywave Mobile,Columbus,OH,US,carrier-grade NAT; shared by many subscribers
198.19.250.50,mobile_cgnat,Relaywave Mobile,Columbus,OH,US,carrier-grade NAT; shared by many subscribers
198.19.250.15,mobile_cgnat,Relaywave Mobile,Columbus,OH,US,carrier-grade NAT; shared by many subscribers
198.19.250.8,mobile_cgnat,Relaywave Mobile,Denver,CO,US,carrier-grade NAT; shared by many subscribers
198.19.250.4,mobile_cgnat,Relaywave Mobile,Denver,CO,US,carrier-grade NAT; shared by many subscribers
198.19.250.3,mobile_cgnat,Relaywave Mobile,Denver,CO,US,carrier-grade NAT; shared by many subscribers
198.19.250.36,mobile_cgnat,Relaywave Mobile,Denver,CO,US,carrier-grade NAT; shared by many subscribers
198.19.250.35,mobile_cgnat,Relaywave Mobile,Denver,CO,US,carrier-grade NAT; shared by many subscribers
198.19.250.24,mobile_cgnat,Relaywave Mobile,Denver,CO,US,carrier-grade NAT; shared by many subscribers
198.19.250.2,mobile_cgnat,Relaywave Mobile,Austin,TX,US,carrier-grade NAT; shared by many subscribers
198.19.250.45,mobile_cgnat,Relaywave Mobile,Austin,TX,US,carrier-grade NAT; shared by many subscribers
198.19.250.18,mobile_cgnat,Relaywave Mobile,Austin,TX,US,carrier-grade NAT; shared by many subscribers
198.19.250.28,mobile_cgnat,Relaywave Mobile,Pittsburgh,PA,US,carrier-grade NAT; shared by many subscribers
198.19.250.5,mobile_cgnat,Relaywave Mobile,Cleveland,OH,US,carrier-grade NAT; shared by many subscribers
198.19.250.57,mobile_cgnat,Relaywave Mobile,Cleveland,OH,US,carrier-grade NAT; shared by many subscribers
198.19.250.33,mobile_cgnat,Relaywave Mobile,Cleveland,OH,US,carrier-grade NAT; shared by many subscribers
198.19.250.25,mobile_cgnat,Relaywave Mobile,Cleveland,OH,US,carrier-grade NAT; shared by many subscribers
198.19.250.19,mobile_cgnat,Relaywave Mobile,Cleveland,OH,US,carrier-grade NAT; shared by many subscribers
198.19.250.53,mobile_cgnat,Relaywave Mobile,Seattle,WA,US,carrier-grade NAT; shared by many subscribers
198.19.250.41,mobile_cgnat,Relaywave Mobile,Seattle,WA,US,carrier-grade NAT; shared by many subscribers
198.19.250.21,mobile_cgnat,Relaywave Mobile,Cleveland,OH,US,carrier-grade NAT; shared by many subscribers
198.19.250.22,mobile_cgnat,Relaywave Mobile,Cleveland,OH,US,carrier-grade NAT; shared by many subscribers
198.19.250.38,mobile_cgnat,Relaywave Mobile,Westerville,OH,US,carrier-grade NAT; shared by many subscribers
198.19.250.30,mobile_cgnat,Relaywave Mobile,Boston,MA,US,carrier-grade NAT; shared by many subscribers
198.19.250.52,mobile_cgnat,Relaywave Mobile,Boston,MA,US,carrier-grade NAT; shared by many subscribers
198.19.250.46,mobile_cgnat,Relaywave Mobile,Chicago,IL,US,carrier-grade NAT; shared by many subscribers
198.19.250.31,mobile_cgnat,Relaywave Mobile,Chicago,IL,US,carrier-grade NAT; shared by many subscribers
198.19.250.42,mobile_cgnat,Relaywave Mobile,Columbus,OH,US,carrier-grade NAT; shared by many subscribers
198.19.250.13,mobile_cgnat,Relaywave Mobile,Columbus,OH,US,carrier-grade NAT; shared by many subscribers
198.19.250.58,mobile_cgnat,Relaywave Mobile,Columbus,OH,US,carrier-grade NAT; shared by many subscribers
198.19.250.29,mobile_cgnat,Relaywave Mobile,Chicago,IL,US,carrier-grade NAT; shared by many subscribers
198.18.143.121,residential,Brightwave Cable,Columbus,OH,US,
198.18.113.39,residential,Brightwave Cable,Boston,MA,US,
198.18.54.95,residential,Brightwave Cable,Austin,TX,US,
198.18.187.141,residential,Brightwave Cable,Pittsburgh,PA,US,
198.18.126.6,residential,Metrolink Fiber,Chicago,IL,US,
