case_id,txn_id,disputed_amount
DSP-2026-00140,TXN-0007807,22.30
DSP-2026-00141,TXN-0020495,718.00
DSP-2026-00142,TXN-0006802,13.04
DSP-2026-00143,TXN-0020497,925.11
DSP-2026-00144,TXN-0020498,302.27
DSP-2026-00145,TXN-0020499,1122.22
DSP-2026-00146,TXN-0018048,49.35
DSP-2026-00147,TXN-0020500,535.13
DSP-2026-00148,TXN-0020501,945.08
DSP-2026-00149,TXN-0020502,734.68
DSP-2026-00150,TXN-0014583,2.19
DSP-2026-00151,TXN-0014222,65.00
DSP-2025-00152,TXN-0020503,515.14
DSP-2026-00153,TXN-0005318,228.45
DSP-2026-00154,TXN-0008897,2.48
DSP-2026-00155,TXN-0020504,171.96
DSP-2026-00156,TXN-0000744,8.66
DSP-2026-00157,TXN-0009290,85.00
DSP-2026-00158,TXN-0001268,13.54
DSP-2026-00159,TXN-0017640,65.50
DSP-2026-00160,TXN-0019056,132.52
DSP-2026-00161,TXN-0018712,7.68
DSP-2026-00162,TXN-0000029,21.27
DSP-2026-00163,TXN-0006327,18.40
DSP-2026-00164,TXN-0011891,477.77
DSP-2026-00165,TXN-0020506,857.92
DSP-2026-00166,TXN-0012747,231.86
DSP-2026-00167,TXN-0020507,709.68
DSP-2025-00168,TXN-0010628,13.52
DSP-2026-00169,TXN-0009766,140.77
DSP-2026-00170,TXN-0006162,22.99
DSP-2026-00171,TXN-0020508,551.60
DSP-2026-00172,TXN-0004266,170.98
DSP-2026-00173,TXN-0004514,25.34
DSP-2026-00174,TXN-0020510,691.94
DSP-2026-00175,TXN-0007750,144.40
DSP-2026-00176,TXN-0020511,282.63
DSP-2026-00177,TXN-0011263,69.32
DSP-2026-00178,TXN-0020512,304.77
DSP-2026-00179,TXN-0015464,112.87
DSP-2026-00180,TXN-0014110,22.99
DSP-2026-00181,TXN-0020513,373.66
DSP-2026-00182,TXN-0020514,609.03
DSP-2026-00183,TXN-0002283,157.13
DSP-2026-00184,TXN-0002821,56.83
DSP-2026-00185,TXN-0009477,123.44
DSP-2026-00186,TXN-0017317,322.90
DSP-2026-00187,TXN-0004042,17.99
DSP-2026-00188,TXN-0015531,124.90
DSP-2026-00189,TXN-0002199,81.79
DSP-2026-00190,TXN-0017487,15.99
DSP-2026-00191,TXN-0004778,150.78
DSP-2026-00192,TXN-0000322,145.74
DSP-2026-00193,TXN-0004351,109.90
DSP-2026-00194,TXN-0020517,850.77
DSP-2026-00195,TXN-0020518,659.30
DSP-2026-00196,TXN-0020519,1090.63
DSP-2026-00197,TXN-0016911,107.01
DSP-2026-00198,TXN-0015201,38.75
DSP-2026-00199,TXN-0002919,205.39
DSP-2026-00200,TXN-0020520,846.84
DSP-2026-00201,TXN-0007809,22.74
DSP-2026-00202,TXN-0005441,54.00
DSP-2025-00203,TXN-0015204,60.99
DSP-2026-00204,TXN-0009516,24.31
DSP-2026-00205,TXN-0016964,176.97
DSP-2026-00206,TXN-0006733,4.51
DSP-2026-00207,TXN-0008528,247.73
DSP-2026-00208,TXN-0020521,897.81
DSP-2026-00209,TXN-0020522,1039.57
DSP-2026-00210,TXN-0020523,831.38
DSP-2026-00211,TXN-0010978,18.16
DSP-2026-00212,TXN-0002983,23.16
DSP-2026-00213,TXN-0015335,242.32
DSP-2026-00214,TXN-0018105,42.32
DSP-2026-00215,TXN-0020525,446.00
DSP-2026-00216,TXN-0003148,175.93
DSP-2026-00217,TXN-0020526,466.27
DSP-2026-00218,TXN-0001922,49.79
DSP-2026-00219,TXN-0020528,871.38
DSP-2026-00220,TXN-0017350,81.11
DSP-2026-00221,TXN-0020529,669.33
DSP-2026-00222,TXN-0020530,652.13
DSP-2026-00223,TXN-0020531,837.01
DSP-2026-00224,TXN-0008966,17.99
DSP-2026-00225,TXN-0020532,475.45
DSP-2026-00226,TXN-0018033,15.99
DSP-2026-00227,TXN-0002206,21.59
DSP-2026-00228,TXN-0010212,24.22
DSP-2026-00229,TXN-0000873,22.99
DSP-2026-00230,TXN-0014008,28.35
DSP-2026-00231,TXN-0013833,4.64
DSP-2026-00232,TXN-0007620,42.28
DSP-2026-00233,TXN-0002985,53.99
DSP-2026-00234,TXN-0002205,56.34
DSP-2026-00235,TXN-0001041,319.19
DSP-2026-00236,TXN-0018757,7.43
DSP-2026-00237,TXN-0005704,1.59
DSP-2026-00238,TXN-0020537,164.90
DSP-2026-08004,TXN-0020538,212.40
DSP-2026-08004,TXN-0020539,212.40
DSP-2026-08007,TXN-0020540,916.20
DSP-2025-08009,TXN-0020541,59.99
DSP-2026-08010,TXN-0020542,149.95
DSP-2026-08012,TXN-0020543,119.88
DSP-2026-08015,TXN-0020544,329.51
DSP-2026-08016,TXN-0020545,449.00
DSP-2026-08017,TXN-0020546,248.00
DSP-2026-08019,TXN-0020547,608.18
DSP-2026-08020,TXN-0020548,420.00
