statement_id,account_id,cycle_start,cycle_end,transmitted_at,due_date,previous_balance,purchases,credits,payments,fees,closing_balance,minimum_due
STM-CR-00004-202610,ACC-CR-00004,2026-09-21,2026-10-20,2026-10-21T13:00:00Z,2026-11-14,367.39,2496.43,0.00,367.39,0.00,2496.43,49.93
STM-CR-00005-202509,ACC-CR-00005,2025-08-31,2025-09-18,2025-09-19T13:00:00Z,2025-10-13,0.00,0.00,0.00,0.00,0.00,0.00,0.00
STM-CR-00005-202510,ACC-CR-00005,2025-09-19,2025-10-18,2025-10-19T13:00:00Z,2025-11-12,0.00,29.00,0.00,0.00,0.00,29.00,35.00
STM-CR-00005-202511,ACC-CR-00005,2025-10-19,2025-11-18,2025-11-19T14:00:00Z,2025-12-13,29.00,466.03,0.00,11.60,0.00,483.43,35.00
STM-CR-00005-202512,ACC-CR-00005,2025-11-19,2025-12-18,2025-12-19T14:00:00Z,2026-01-12,483.43,221.47,0.00,193.37,0.00,511.53,35.00
STM-CR-00005-202601,ACC-CR-00005,2025-12-19,2026-01-18,2026-01-19T14:00:00Z,2026-02-12,511.53,602.69,0.00,204.61,0.00,909.61,35.00
STM-CR-00005-202602,ACC-CR-00005,2026-01-19,2026-02-18,2026-02-19T14:00:00Z,2026-03-15,909.61,412.24,0.00,363.84,0.00,958.01,35.00
STM-CR-00005-202603,ACC-CR-00005,2026-02-19,2026-03-18,2026-03-19T13:00:00Z,2026-04-12,958.01,790.92,0.00,383.20,0.00,1365.73,35.00
STM-CR-00005-202604,ACC-CR-00005,2026-03-19,2026-04-18,2026-04-19T13:00:00Z,2026-05-13,1365.73,183.99,66.83,546.29,0.00,936.60,35.00
STM-CR-00005-202605,ACC-CR-00005,2026-04-19,2026-05-18,2026-05-19T13:00:00Z,2026-06-12,936.60,1340.54,0.00,374.64,0.00,1902.50,38.05
STM-CR-00005-202606,ACC-CR-00005,2026-05-19,2026-06-18,2026-06-19T13:00:00Z,2026-07-13,1902.50,600.39,0.00,761.00,0.00,1741.89,35.00
STM-CR-00005-202607,ACC-CR-00005,2026-06-19,2026-07-18,2026-07-19T13:00:00Z,2026-08-12,1741.89,456.53,0.00,696.76,0.00,1501.66,35.00
STM-CR-00005-202608,ACC-CR-00005,2026-07-19,2026-08-18,2026-08-19T13:00:00Z,2026-09-12,1501.66,1259.70,0.00,600.66,0.00,2160.70,43.21
STM-CR-00005-202609,ACC-CR-00005,2026-08-19,2026-09-18,2026-09-19T13:00:00Z,2026-10-13,2160.70,406.21,0.00,864.28,0.00,1702.63,35.00
STM-CR-00005-202610,ACC-CR-00005,2026-09-19,2026-10-18,2026-10-19T13:00:00Z,2026-11-12,1702.63,468.96,0.00,681.05,0.00,1490.54,35.00
STM-CR-00006-202509,ACC-CR-00006,2025-08-31,2025-09-17,2025-09-18T13:00:00Z,2025-10-12,0.00,0.00,0.00,0.00,0.00,0.00,0.00
STM-CR-00006-202510,ACC-CR-00006,2025-09-18,2025-10-17,2025-10-18T13:00:00Z,2025-11-11,0.00,262.94,0.00,0.00,0.00,262.94,35.00
STM-CR-00006-202511,ACC-CR-00006,2025-10-18,2025-11-17,2025-11-18T14:00:00Z,2025-12-12,262.94,81.77,0.00,35.00,0.00,309.71,35.00
STM-CR-00006-202512,ACC-CR-00006,2025-11-18,2025-12-17,2025-12-18T14:00:00Z,2026-01-11,309.71,388.76,0.00,35.00,0.00,663.47,35.00
STM-CR-00006-202601,ACC-CR-00006,2025-12-18,2026-01-17,2026-01-18T14:00:00Z,2026-02-11,663.47,422.86,0.00,35.00,0.00,1051.33,35.00
STM-CR-00006-202602,ACC-CR-00006,2026-01-18,2026-02-17,2026-02-18T14:00:00Z,2026-03-14,1051.33,289.21,0.00,35.00,0.00,1305.54,35.00
STM-CR-00006-202603,ACC-CR-00006,2026-02-18,2026-03-17,2026-03-18T13:00:00Z,2026-04-11,1305.54,603.31,0.00,35.00,0.00,1873.85,37.48
STM-CR-00006-202604,ACC-CR-00006,2026-03-18,2026-04-17,2026-04-18T13:00:00Z,2026-05-12,1873.85,107.80,0.00,37.48,0.00,1944.17,38.88
STM-CR-00006-202605,ACC-CR-00006,2026-04-18,2026-05-17,2026-05-18T13:00:00Z,2026-06-11,1944.17,324.48,0.00,38.88,0.00,2229.77,44.60
STM-CR-00006-202606,ACC-CR-00006,2026-05-18,2026-06-17,2026-06-18T13:00:00Z,2026-07-12,2229.77,236.11,0.00,44.60,0.00,2421.28,48.43
STM-CR-00006-202607,ACC-CR-00006,2026-06-18,2026-07-17,2026-07-18T13:00:00Z,2026-08-11,2421.28,269.32,0.00,48.43,0.00,2642.17,52.84
STM-CR-00006-202608,ACC-CR-00006,2026-07-18,2026-08-17,2026-08-18T13:00:00Z,2026-09-11,2642.17,970.65,0.00,52.84,0.00,3559.98,71.20
STM-CR-00006-202609,ACC-CR-00006,2026-08-18,2026-09-17,2026-09-18T13:00:00Z,2026-10-12,3559.98,0.00,0.00,71.20,0.00,3488.78,69.78
STM-CR-00006-202610,ACC-CR-00006,2026-09-18,2026-10-17,2026-10-18T13:00:00Z,2026-11-11,3488.78,462.84,0.00,69.78,0.00,3881.84,77.64
STM-CR-00007-202509,ACC-CR-00007,2025-08-31,2025-09-22,2025-09-23T13:00:00Z,2025-10-17,0.00,0.00,0.00,0.00,0.00,0.00,0.00
STM-CR-00007-202510,ACC-CR-00007,2025-09-23,2025-10-22,2025-10-23T13:00:00Z,2025-11-16,0.00,349.99,0.00,0.00,0.00,349.99,35.00
STM-CR-00007-202511,ACC-CR-00007,2025-10-23,2025-11-22,2025-11-23T14:00:00Z,2025-12-17,349.99,227.08,0.00,140.00,0.00,437.07,35.00
STM-CR-00007-202512,ACC-CR-00007,2025-11-23,2025-12-22,2025-12-23T14:00:00Z,2026-01-16,437.07,358.52,0.00,174.83,0.00,620.76,35.00
STM-CR-00007-202601,ACC-CR-00007,2025-12-23,2026-01-22,2026-01-23T14:00:00Z,2026-02-16,620.76,231.79,0.00,248.30,0.00,604.25,35.00
STM-CR-00007-202602,ACC-CR-00007,2026-01-23,2026-02-22,2026-02-23T14:00:00Z,2026-03-19,604.25,179.39,0.00,241.70,0.00,541.94,35.00
STM-CR-00007-202603,ACC-CR-00007,2026-02-23,2026-03-22,2026-03-23T13:00:00Z,2026-04-16,541.94,196.68,0.00,216.78,0.00,521.84,35.00
STM-CR-00007-202604,ACC-CR-00007,2026-03-23,2026-04-22,2026-04-23T13:00:00Z,2026-05-17,521.84,720.33,0.00,208.74,0.00,1033.43,35.00
STM-CR-00007-202605,ACC-CR-00007,2026-04-23,2026-05-22,2026-05-23T13:00:00Z,2026-06-16,1033.43,343.14,0.00,413.37,0.00,963.20,35.00
STM-CR-00007-202606,ACC-CR-00007,2026-05-23,2026-06-22,2026-06-23T13:00:00Z,2026-07-17,963.20,108.37,0.00,385.28,0.00,686.29,35.00
STM-CR-00007-202607,ACC-CR-00007,2026-06-23,2026-07-22,2026-07-23T13:00:00Z,2026-08-16,686.29,208.29,0.00,274.52,0.00,620.06,35.00
STM-CR-00007-202608,ACC-CR-00007,2026-07-23,2026-08-22,2026-08-23T13:00:00Z,2026-09-16,620.06,161.36,0.00,248.02,0.00,533.40,35.00
STM-CR-00007-202609,ACC-CR-00007,2026-08-23,2026-09-22,2026-09-23T13:00:00Z,2026-10-17,533.40,259.39,0.00,213.36,0.00,579.43,35.00
STM-CR-00008-202509,ACC-CR-00008,2025-08-31,2025-09-28,2025-09-29T13:00:00Z,2025-10-23,0.00,0.00,0.00,0.00,0.00,0.00,0.00
STM-CR-00008-202510,ACC-CR-00008,2025-09-29,2025-10-28,2025-10-29T13:00:00Z,2025-11-22,0.00,478.07,0.00,0.00,0.00,478.07,35.00
STM-CR-00008-202511,ACC-CR-00008,2025-10-29,2025-11-28,2025-11-29T14:00:00Z,2025-12-23,478.07,614.50,0.00,478.07,0.00,614.50,35.00
STM-CR-00008-202512,ACC-CR-00008,2025-11-29,2025-12-28,2025-12-29T14:00:00Z,2026-01-22,614.50,539.23,0.00,614.50,0.00,539.23,35.00
STM-CR-00008-202601,ACC-CR-00008,2025-12-29,2026-01-28,2026-01-29T14:00:00Z,2026-02-22,539.23,581.48,0.00,539.23,0.00,581.48,35.00
STM-CR-00008-202602,ACC-CR-00008,2026-01-29,2026-02-28,2026-03-01T14:00:00Z,2026-03-25,581.48,208.41,0.00,581.48,0.00,208.41,35.00
STM-CR-00008-202603,ACC-CR-00008,2026-03-01,2026-03-28,2026-03-29T13:00:00Z,2026-04-22,208.41,336.21,0.00,208.41,0.00,336.21,35.00
STM-CR-00008-202604,ACC-CR-00008,2026-03-29,2026-04-28,2026-04-29T13:00:00Z,2026-05-23,336.21,289.95,0.00,336.21,0.00,289.95,35.00
STM-CR-00008-202605,ACC-CR-00008,2026-04-29,2026-05-28,2026-05-29T13:00:00Z,2026-06-22,289.95,477.11,0.00,289.95,0.00,477.11,35.00
STM-CR-00008-202606,ACC-CR-00008,2026-05-29,2026-06-28,2026-06-29T13:00:00Z,2026-07-23,477.11,728.23,0.00,477.11,0.00,728.23,35.00
STM-CR-00008-202607,ACC-CR-00008,2026-06-29,2026-07-28,2026-07-29T13:00:00Z,2026-08-22,728.23,451.93,0.00,728.23,0.00,451.93,35.00
STM-CR-00008-202608,ACC-CR-00008,2026-07-29,2026-08-28,2026-08-29T13:00:00Z,2026-09-22,451.93,2308.91,0.00,451.93,0.00,2308.91,46.18
STM-CR-00008-202609,ACC-CR-00008,2026-08-29,2026-09-28,2026-09-29T13:00:00Z,2026-10-23,2308.91,374.78,0.00,2308.91,0.00,374.78,35.00
STM-CR-00009-202509,ACC-CR-00009,2025-08-31,2025-09-12,2025-09-13T13:00:00Z,2025-10-07,0.00,0.00,0.00,0.00,0.00,0.00,0.00
STM-CR-00009-202510,ACC-CR-00009,2025-09-13,2025-10-12,2025-10-13T13:00:00Z,2025-11-06,0.00,106.92,0.00,0.00,0.00,106.92,35.00
STM-CR-00009-202511,ACC-CR-00009,2025-10-13,2025-11-12,2025-11-13T14:00:00Z,2025-12-07,106.92,175.94,0.00,106.92,0.00,175.94,35.00
STM-CR-00009-202512,ACC-CR-00009,2025-11-13,2025-12-12,2025-12-13T14:00:00Z,2026-01-06,175.94,275.15,0.00,175.94,0.00,275.15,35.00
STM-CR-00009-202601,ACC-CR-00009,2025-12-13,2026-01-12,2026-01-13T14:00:00Z,2026-02-06,275.15,207.68,0.00,275.15,0.00,207.68,35.00
STM-CR-00009-202602,ACC-CR-00009,2026-01-13,2026-02-12,2026-02-13T14:00:00Z,2026-03-09,207.68,260.61,0.00,207.68,0.00,260.61,35.00
STM-CR-00009-202603,ACC-CR-00009,2026-02-13,2026-03-12,2026-03-13T13:00:00Z,2026-04-06,260.61,234.97,0.00,260.61,0.00,234.97,35.00
STM-CR-00009-202604,ACC-CR-00009,2026-03-13,2026-04-12,2026-04-13T13:00:00Z,2026-05-07,234.97,246.88,0.00,234.97,0.00,246.88,35.00
STM-CR-00009-202605,ACC-CR-00009,2026-04-13,2026-05-12,2026-05-13T13:00:00Z,2026-06-06,246.88,370.57,0.00,246.88,0.00,370.57,35.00
STM-CR-00009-202606,ACC-CR-00009,2026-05-13,2026-06-12,2026-06-13T13:00:00Z,2026-07-07,370.57,141.18,0.00,370.57,0.00,141.18,35.00
STM-CR-00009-202607,ACC-CR-00009,2026-06-13,2026-07-12,2026-07-13T13:00:00Z,2026-08-06,141.18,218.80,0.00,141.18,0.00,218.80,35.00
STM-CR-00009-202608,ACC-CR-00009,2026-07-13,2026-08-12,2026-08-13T13:00:00Z,2026-09-06,218.80,943.35,0.00,218.80,0.00,943.35,35.00
STM-CR-00009-202609,ACC-CR-00009,2026-08-13,2026-09-12,2026-09-13T13:00:00Z,2026-10-07,943.35,46.87,0.00,943.35,0.00,46.87,35.00
STM-CR-00009-202610,ACC-CR-00009,2026-09-13,2026-10-12,2026-10-13T13:00:00Z,2026-11-06,46.87,419.89,0.00,46.87,0.00,419.89,35.00
STM-CR-00010-202509,ACC-CR-00010,2025-08-31,2025-09-28,2025-09-29T13:00:00Z,2025-10-23,0.00,0.00,0.00,0.00,0.00,0.00,0.00
STM-CR-00010-202510,ACC-CR-00010,2025-09-29,2025-10-28,2025-10-29T13:00:00Z,2025-11-22,0.00,403.54,0.00,0.00,0.00,403.54,35.00
STM-CR-00010-202511,ACC-CR-00010,2025-10-29,2025-11-28,2025-11-29T14:00:00Z,2025-12-23,403.54,540.14,0.00,403.54,0.00,540.14,35.00
STM-CR-00010-202512,ACC-CR-00010,2025-11-29,2025-12-28,2025-12-29T14:00:00Z,2026-01-22,540.14,722.35,0.00,540.14,0.00,722.35,35.00
STM-CR-00010-202601,ACC-CR-00010,2025-12-29,2026-01-28,2026-01-29T14:00:00Z,2026-02-22,722.35,481.35,160.07,722.35,0.00,321.28,35.00
STM-CR-00010-202602,ACC-CR-00010,2026-01-29,2026-02-28,2026-03-01T14:00:00Z,2026-03-25,321.28,419.27,0.00,321.28,0.00,419.27,35.00
STM-CR-00010-202603,ACC-CR-00010,2026-03-01,2026-03-28,2026-03-29T13:00:00Z,2026-04-22,419.27,533.85,0.00,419.27,0.00,533.85,35.00
STM-CR-00010-202604,ACC-CR-00010,2026-03-29,2026-04-28,2026-04-29T13:00:00Z,2026-05-23,533.85,328.72,0.00,533.85,0.00,328.72,35.00
STM-CR-00010-202605,ACC-CR-00010,2026-04-29,2026-05-28,2026-05-29T13:00:00Z,2026-06-22,328.72,619.17,0.00,328.72,0.00,619.17,35.00
STM-CR-00010-202606,ACC-CR-00010,2026-05-29,2026-06-28,2026-06-29T13:00:00Z,2026-07-23,619.17,291.43,0.00,619.17,0.00,291.43,35.00
STM-CR-00010-202607,ACC-CR-00010,2026-06-29,2026-07-28,2026-07-29T13:00:00Z,2026-08-22,291.43,421.97,0.00,291.43,0.00,421.97,35.00
STM-CR-00010-202608,ACC-CR-00010,2026-07-29,2026-08-28,2026-08-29T13:00:00Z,2026-09-22,421.97,239.13,0.00,421.97,0.00,239.13,35.00
STM-CR-00010-202609,ACC-CR-00010,2026-08-29,2026-09-28,2026-09-29T13:00:00Z,2026-10-23,239.13,1214.52,0.00,239.13,0.00,1214.52,35.00
STM-CR-00011-202509,ACC-CR-00011,2025-08-31,2025-09-28,2025-09-29T13:00:00Z,2025-10-23,0.00,0.00,0.00,0.00,0.00,0.00,0.00
STM-CR-00011-202510,ACC-CR-00011,2025-09-29,2025-10-28,2025-10-29T13:00:00Z,2025-11-22,0.00,355.52,0.00,0.00,0.00,355.52,35.00
STM-CR-00011-202511,ACC-CR-00011,2025-10-29,2025-11-28,2025-11-29T14:00:00Z,2025-12-23,355.52,266.92,0.00,355.52,0.00,266.92,35.00
STM-CR-00011-202512,ACC-CR-00011,2025-11-29,2025-12-28,2025-12-29T14:00:00Z,2026-01-22,266.92,365.78,0.00,266.92,0.00,365.78,35.00
STM-CR-00011-202601,ACC-CR-00011,2025-12-29,2026-01-28,2026-01-29T14:00:00Z,2026-02-22,365.78,407.59,0.00,365.78,0.00,407.59,35.00
STM-CR-00011-202602,ACC-CR-00011,2026-01-29,2026-02-28,2026-03-01T14:00:00Z,2026-03-25,407.59,434.27,0.00,407.59,0.00,434.27,35.00
STM-CR-00011-202603,ACC-CR-00011,2026-03-01,2026-03-28,2026-03-29T13:00:00Z,2026-04-22,434.27,403.36,0.00,434.27,0.00,403.36,35.00
STM-CR-00011-202604,ACC-CR-00011,2026-03-29,2026-04-28,2026-04-29T13:00:00Z,2026-05-23,403.36,372.74,0.00,403.36,0.00,372.74,35.00
STM-CR-00011-202605,ACC-CR-00011,2026-04-29,2026-05-28,2026-05-29T13:00:00Z,2026-06-22,372.74,1226.29,0.00,372.74,0.00,1226.29,35.00
STM-CR-00011-202606,ACC-CR-00011,2026-05-29,2026-06-28,2026-06-29T13:00:00Z,2026-07-23,1226.29,436.02,0.00,1226.29,0.00,436.02,35.00
STM-CR-00011-202607,ACC-CR-00011,2026-06-29,2026-07-28,2026-07-29T13:00:00Z,2026-08-22,436.02,529.70,0.00,436.02,0.00,529.70,35.00
STM-CR-00011-202608,ACC-CR-00011,2026-07-29,2026-08-28,2026-08-29T13:00:00Z,2026-09-22,529.70,480.37,0.00,529.70,0.00,480.37,35.00
STM-CR-00011-202609,ACC-CR-00011,2026-08-29,2026-09-28,2026-09-29T13:00:00Z,2026-10-23,480.37,1273.09,132.60,480.37,0.00,1140.49,35.00
STM-CR-00012-202509,ACC-CR-00012,2025-08-31,2025-09-14,2025-09-15T13:00:00Z,2025-10-09,0.00,0.00,0.00,0.00,0.00,0.00,0.00
STM-CR-00012-202510,ACC-CR-00012,2025-09-15,2025-10-14,2025-10-15T13:00:00Z,2025-11-08,0.00,17.99,0.00,0.00,0.00,17.99,35.00
STM-CR-00012-202511,ACC-CR-00012,2025-10-15,2025-11-14,2025-11-15T14:00:00Z,2025-12-09,17.99,580.29,0.00,17.99,0.00,580.29,35.00
STM-CR-00012-202512,ACC-CR-00012,2025-11-15,2025-12-14,2025-12-15T14:00:00Z,2026-01-08,580.29,433.13,0.00,580.29,0.00,433.13,35.00
STM-CR-00012-202601,ACC-CR-00012,2025-12-15,2026-01-14,2026-01-15T14:00:00Z,2026-02-08,433.13,325.62,0.00,433.13,0.00,325.62,35.00
STM-CR-00012-202602,ACC-CR-00012,2026-01-15,2026-02-14,2026-02-15T14:00:00Z,2026-03-11,325.62,45.75,0.00,325.62,0.00,45.75,35.00
STM-CR-00012-202603,ACC-CR-00012,2026-02-15,2026-03-14,2026-03-15T13:00:00Z,2026-04-08,45.75,748.92,0.00,45.75,0.00,748.92,35.00
STM-CR-00012-202604,ACC-CR-00012,2026-03-15,2026-04-14,2026-04-15T13:00:00Z,2026-05-09,748.92,691.37,0.00,748.92,0.00,691.37,35.00
STM-CR-00012-202605,ACC-CR-00012,2026-04-15,2026-05-14,2026-05-15T13:00:00Z,2026-06-08,691.37,341.16,0.00,691.37,0.00,341.16,35.00
STM-CR-00012-202606,ACC-CR-00012,2026-05-15,2026-06-14,2026-06-15T13:00:00Z,2026-07-09,341.16,238.03,0.00,341.16,0.00,238.03,35.00
STM-CR-00012-202607,ACC-CR-00012,2026-06-15,2026-07-14,2026-07-15T13:00:00Z,2026-08-08,238.03,409.47,0.00,238.03,0.00,409.47,35.00
STM-CR-00012-202608,ACC-CR-00012,2026-07-15,2026-08-14,2026-08-15T13:00:00Z,2026-09-08,409.47,355.20,0.00,409.47,0.00,355.20,35.00
