case_id,account_id,customer_id,card_id,regime,status,stage,opened_at,intake_channel,intake_authenticated_via,claim_summary,claim_family_initial,network,network_condition,dispute_amount,provisional_credit_amount,provisional_credit_at,network_case_ref,dispute_processing_date,response_processing_date,pre_arb_processing_date,cardholder_outcome,network_outcome,closed_at,assigned_queue,related_case_ids
DSP-2026-00002,ACC-CR-00291,CUS-00342,CRD-000391,REG_Z,open,awaiting_merchant_evidence,2026-10-11T15:05:00Z,app_chat,ivr_otp,Paid for an order that never arrived.,not_received,VISA,,123.37,123.37,2026-10-15T15:00:00Z,,,,,,,,consumer_disputes,
DSP-2026-00003,ACC-CR-00099,CUS-00112,CRD-000127,REG_Z,closed,closed,2026-05-05T17:16:00Z,phone,ivr_otp,Item received is defective / not as described.,not_as_described,VISA,13.3,96.14,96.14,2026-05-08T15:00:00Z,VRL4710284190,2026-05-08,,,credited,issuer_won,2026-06-25T21:00:00Z,consumer_disputes,
DSP-2026-00004,ACC-CR-00300,CUS-00351,CRD-000404,REG_Z,closed,closed,2026-08-13T21:06:00Z,secure_message,ivr_otp,Cardholder does not recognize and did not authorize an online purchase.,fraud_cnp,VISA,10.4,572.37,572.37,2026-08-16T15:00:00Z,VRL2983477925,2026-08-21,,,credited,issuer_won,2026-09-15T21:00:00Z,fraud_cnp,
DSP-2026-00005,ACC-DDA-00068,CUS-00317,CRD-000364,REG_E,open,awaiting_merchant_evidence,2026-10-15T21:01:00Z,secure_message,ivr_otp,Cardholder does not recognize and did not authorize an online purchase.,fraud_cnp,VISA,,247.77,247.77,2026-10-17T15:00:00Z,,,,,,,,fraud_cnp,
DSP-2026-00006,ACC-CR-00070,CUS-00082,CRD-000091,REG_Z,closed,closed,2026-08-23T19:53:00Z,phone,ivr_otp,Paid for an order that never arrived.,not_received,VISA,13.1,106.25,106.25,2026-08-25T15:00:00Z,VRL7580389132,2026-08-31,2026-09-18,,denied,merchant_won,2026-09-29T21:00:00Z,consumer_disputes,
DSP-2026-00007,ACC-CR-00303,CUS-00356,CRD-000409,REG_Z,closed,closed,2026-04-13T17:44:00Z,app_chat,ivr_otp,Returned item; merchant promised refund that never posted.,credit_not_processed,VISA,13.6,138.00,138.00,2026-04-16T15:00:00Z,VRL2510887517,2026-04-17,,,credited,issuer_won,2026-06-09T21:00:00Z,consumer_disputes,
DSP-2026-00008,ACC-CR-00035,CUS-00041,CRD-000045,REG_Z,closed,closed,2026-06-07T13:10:00Z,secure_message,ivr_otp,Cardholder does not recognize and did not authorize an online purchase.,fraud_cnp,VISA,10.4,465.74,465.74,2026-06-09T15:00:00Z,VRL9086387121,2026-06-11,,,credited,issuer_won,2026-07-25T21:00:00Z,fraud_cnp,
DSP-2026-00009,ACC-CR-00093,CUS-00105,CRD-000118,REG_Z,closed,closed,2026-08-31T14:32:00Z,secure_message,ivr_otp,Subscription was cancelled but charges continued.,cancelled_recurring,VISA,13.2,65.00,65.00,2026-09-05T15:00:00Z,VRL6251835722,2026-09-09,2026-10-08,,denied,merchant_won,2026-10-23T21:00:00Z,consumer_disputes,
DSP-2026-00010,ACC-CR-00027,CUS-00033,CRD-000036,REG_Z,closed,closed,2026-06-16T12:02:00Z,secure_message,ivr_otp,Cardholder does not recognize and did not authorize an online purchase.,fraud_cnp,VISA,10.4,814.20,814.20,2026-06-21T15:00:00Z,VRL9375466731,2026-06-19,,,credited,issuer_won,2026-08-02T21:00:00Z,fraud_cnp,
DSP-2026-00011,ACC-CR-00299,CUS-00350,CRD-000402,REG_Z,open,dispute_filed,2026-09-24T18:50:00Z,secure_message,ivr_otp,Returned item; merchant promised refund that never posted.,credit_not_processed,VISA,13.6,189.94,189.94,2026-09-29T15:00:00Z,VRL9501867945,2026-09-30,,,,,,consumer_disputes,
DSP-2026-00012,ACC-CR-00268,CUS-00312,CRD-000358,REG_Z,open,investigating,2026-10-03T21:34:00Z,secure_message,ivr_otp,Does not recognize merchant name on statement.,descriptor_confusion,VISA,,14.22,,,,,,,,,,consumer_disputes,
DSP-2026-00013,ACC-CR-00301,CUS-00353,CRD-000406,REG_Z,open,awaiting_merchant_evidence,2026-10-15T21:56:00Z,app_chat,ivr_otp,Cardholder does not recognize and did not authorize an online purchase.,fraud_cnp,VISA,,747.05,747.05,2026-10-18T15:00:00Z,,,,,,,,fraud_cnp,
DSP-2026-00014,ACC-CR-00301,CUS-00353,CRD-000406,REG_Z,open,investigating,2026-10-16T18:14:00Z,app_chat,ivr_otp,Item received is defective / not as described.,not_as_described,VISA,,21.31,21.31,2026-10-20T15:00:00Z,,,,,,,,consumer_disputes,
DSP-2026-00015,ACC-DDA-00070,CUS-00319,CRD-000366,REG_E,open,dispute_filed,2026-09-26T13:27:00Z,secure_message,ivr_otp,Cancelled order within policy; no refund.,cancelled_merch,VISA,13.7,45.37,45.37,2026-09-30T15:00:00Z,VRL6284782486,2026-10-02,,,,,,consumer_disputes,
DSP-2026-00016,ACC-CR-00296,CUS-00347,CRD-000397,REG_Z,open,investigating,2026-10-17T21:59:00Z,secure_message,ivr_otp,Subscription was cancelled but charges continued.,cancelled_recurring,VISA,,22.99,22.99,2026-10-20T15:00:00Z,,,,,,,,consumer_disputes,
DSP-2026-00017,ACC-CR-00154,CUS-00180,CRD-000202,REG_Z,closed,closed,2026-02-20T13:17:00Z,app_chat,ivr_otp,Item received is defective / not as described.,not_as_described,VISA,13.3,201.97,201.97,2026-02-24T16:00:00Z,VRL8489667953,2026-02-27,2026-03-20,,denied,merchant_won,2026-04-12T21:00:00Z,consumer_disputes,
DSP-2026-00018,ACC-CR-00287,CUS-00337,CRD-000385,REG_Z,open,dispute_filed,2026-09-18T16:50:00Z,phone,ivr_otp,Cardholder does not recognize and did not authorize an online purchase.,fraud_cnp,VISA,10.4,470.77,470.77,2026-09-20T15:00:00Z,VRL6951028795,2026-09-26,,,,,,fraud_cnp,
DSP-2026-00019,ACC-CR-00293,CUS-00344,CRD-000393,REG_Z,closed,closed,2026-07-16T15:27:00Z,secure_message,ivr_otp,Charged more than the receipt amount.,incorrect_amount,VISA,12.5,14.20,14.20,2026-07-21T15:00:00Z,VRL2583977812,2026-07-19,,,partial_credit,issuer_won,2026-08-01T21:00:00Z,consumer_disputes,
DSP-2026-00020,ACC-CR-00149,CUS-00173,CRD-000194,REG_Z,closed,closed,2026-06-20T17:49:00Z,phone,ivr_otp,Cardholder does not recognize and did not authorize an online purchase.,fraud_cnp,VISA,10.4,224.26,224.26,2026-06-24T15:00:00Z,VRL9515613905,2026-06-23,,,credited,issuer_won,2026-07-05T21:00:00Z,fraud_cnp,
DSP-2026-00022,ACC-CR-00074,CUS-00086,CRD-000096,REG_Z,closed,closed,2026-02-24T13:16:00Z,secure_message,ivr_otp,Cardholder does not recognize and did not authorize an online purchase.,fraud_cnp,VISA,10.4,1131.17,1131.17,2026-02-28T16:00:00Z,VRL5682723384,2026-02-27,,,credited,issuer_won,2026-04-14T21:00:00Z,fraud_cnp,
DSP-2026-00023,ACC-CR-00197,CUS-00230,CRD-000263,REG_Z,closed,closed,2026-03-10T20:59:00Z,secure_message,ivr_otp,Cancelled order within policy; no refund.,cancelled_merch,VISA,13.7,52.16,52.16,2026-03-12T15:00:00Z,VRL3095209244,2026-03-13,2026-04-01,,denied,merchant_won,2026-04-14T21:00:00Z,consumer_disputes,
DSP-2026-00025,ACC-CR-00259,CUS-00302,CRD-000345,REG_Z,closed,closed,2026-09-01T14:24:00Z,app_chat,ivr_otp,Cancelled order within policy; no refund.,cancelled_merch,VISA,13.7,133.29,133.29,2026-09-05T15:00:00Z,VRL6473092016,2026-09-09,,,credited,issuer_won,2026-11-04T22:00:00Z,consumer_disputes,
DSP-2026-00026,ACC-CR-00062,CUS-00071,CRD-000078,REG_Z,closed,closed,2026-06-01T16:31:00Z,app_chat,ivr_otp,Item received is defective / not as described.,not_as_described,VISA,13.3,249.77,249.77,2026-06-05T15:00:00Z,VRL1533193331,2026-06-07,,,credited,issuer_won,2026-07-17T21:00:00Z,consumer_disputes,
DSP-2026-00027,ACC-CR-00112,CUS-00125,CRD-000143,REG_Z,closed,closed,2026-01-27T19:28:00Z,phone,ivr_otp,Does not recognize merchant name on statement.,descriptor_confusion,VISA,,27.41,,,,,,,withdrawn,not_filed,2026-02-01T22:00:00Z,consumer_disputes,
DSP-2026-00028,ACC-CR-00297,CUS-00348,CRD-000399,REG_Z,closed,closed,2026-08-04T13:11:00Z,app_chat,ivr_otp,Does not recognize merchant name on statement.,descriptor_confusion,VISA,,85.07,,,,,,,withdrawn,not_filed,2026-08-16T21:00:00Z,consumer_disputes,
DSP-2026-00030,ACC-CR-00103,CUS-00116,CRD-000132,REG_Z,open,investigating,2026-09-19T22:20:00Z,app_chat,ivr_otp,Does not recognize merchant name on statement.,descriptor_confusion,VISA,,56.77,,,,,,,,,,consumer_disputes,
DSP-2026-00031,ACC-CR-00130,CUS-00151,CRD-000171,REG_Z,closed,closed,2026-06-28T17:03:00Z,secure_message,ivr_otp,Cardholder does not recognize and did not authorize an online purchase.,fraud_cnp,VISA,10.4,202.00,202.00,2026-07-03T15:00:00Z,VRL5746915183,2026-07-08,,,credited,issuer_won,2026-07-19T21:00:00Z,fraud_cnp,
DSP-2026-00032,ACC-CR-00217,CUS-00255,CRD-000291,REG_Z,closed,closed,2026-07-31T22:20:00Z,app_chat,ivr_otp,Returned item; merchant promised refund that never posted.,credit_not_processed,VISA,13.6,25.40,25.40,2026-08-04T15:00:00Z,VRL6646842209,2026-08-05,,,credited,issuer_won,2026-08-21T21:00:00Z,consumer_disputes,
DSP-2026-00033,ACC-CR-00006,CUS-00006,CRD-000006,REG_Z,closed,closed,2026-01-17T14:36:00Z,app_chat,ivr_otp,Paid for an order that never arrived.,not_received,VISA,13.1,67.80,67.80,2026-01-18T16:00:00Z,VRL4016328655,2026-01-27,,,credited,issuer_won,2026-03-24T21:00:00Z,consumer_disputes,
DSP-2026-00034,ACC-CR-00283,CUS-00332,CRD-000380,REG_Z,open,awaiting_merchant_evidence,2026-10-10T13:06:00Z,secure_message,ivr_otp,Cardholder does not recognize and did not authorize an online purchase.,fraud_cnp,VISA,,497.51,497.51,2026-10-13T15:00:00Z,,,,,,,,fraud_cnp,
DSP-2026-00035,ACC-CR-00295,CUS-00346,CRD-000396,REG_Z,closed,closed,2026-05-09T20:23:00Z,phone,ivr_otp,Paid for an order that never arrived.,not_received,VISA,13.1,43.63,43.63,2026-05-10T15:00:00Z,VRL8508745466,2026-05-13,2026-06-08,,denied,merchant_won,2026-07-03T21:00:00Z,consumer_disputes,
DSP-2026-00036,ACC-CR-00292,CUS-00343,CRD-000392,REG_Z,closed,closed,2026-01-26T14:31:00Z,secure_message,ivr_otp,Cardholder does not recognize and did not authorize an online purchase.,fraud_cnp,VISA,10.4,98.53,98.53,2026-01-28T16:00:00Z,VRL9540956304,2026-02-02,2026-02-25,,denied,merchant_won_pre_arb,2026-03-22T21:00:00Z,fraud_cnp,
DSP-2026-00037,ACC-CR-00232,CUS-00272,CRD-000308,REG_Z,closed,closed,2026-04-29T17:53:00Z,secure_message,ivr_otp,Does not recognize merchant name on statement.,descriptor_confusion,VISA,,90.79,,,,,,,withdrawn,not_filed,2026-05-02T21:00:00Z,consumer_disputes,
DSP-2026-00038,ACC-CR-00277,CUS-00326,CRD-000374,REG_Z,closed,closed,2026-06-28T19:14:00Z,app_chat,ivr_otp,Does not recognize merchant name on statement.,descriptor_confusion,VISA,,29.59,,,,,,,withdrawn,not_filed,2026-07-03T21:00:00Z,consumer_disputes,
DSP-2026-00039,ACC-DDA-00070,CUS-00319,CRD-000366,REG_E,closed,closed,2026-04-27T19:26:00Z,phone,ivr_otp,Returned item; merchant promised refund that never posted.,credit_not_processed,VISA,13.6,17.72,17.72,2026-05-02T15:00:00Z,VRL8310441326,2026-04-30,,,credited,issuer_won,2026-05-10T21:00:00Z,consumer_disputes,
DSP-2026-00040,ACC-CR-00135,CUS-00158,CRD-000179,REG_Z,closed,closed,2026-06-13T18:09:00Z,phone,ivr_otp,Subscription was cancelled but charges continued.,cancelled_recurring,VISA,13.2,22.99,22.99,2026-06-18T15:00:00Z,VRL3820635589,2026-06-17,,,credited,issuer_won,2026-08-08T21:00:00Z,consumer_disputes,
DSP-2026-00041,ACC-CR-00143,CUS-00167,CRD-000188,REG_Z,closed,closed,2026-05-29T12:20:00Z,phone,ivr_otp,Item received is defective / not as described.,not_as_described,VISA,13.3,478.84,478.84,2026-06-03T15:00:00Z,VRL4452018290,2026-06-02,,,credited,issuer_won,2026-07-22T21:00:00Z,consumer_disputes,
DSP-2026-00042,ACC-CR-00098,CUS-00111,CRD-000126,REG_Z,closed,closed,2026-05-20T20:20:00Z,app_chat,ivr_otp,Charged more than the receipt amount.,incorrect_amount,VISA,12.5,15.88,15.88,2026-05-25T15:00:00Z,VRL6971936097,2026-05-24,,,partial_credit,issuer_won,2026-06-29T21:00:00Z,consumer_disputes,
DSP-2026-00043,ACC-CR-00301,CUS-00353,CRD-000406,REG_Z,closed,closed,2026-07-13T18:56:00Z,app_chat,ivr_otp,Cardholder does not recognize and did not authorize an online purchase.,fraud_cnp,VISA,10.4,5.05,5.05,2026-07-17T15:00:00Z,VRL1433417538,2026-07-19,2026-08-09,,denied,merchant_won_pre_arb,2026-08-18T21:00:00Z,fraud_cnp,
DSP-2026-00044,ACC-DDA-00066,CUS-00313,CRD-000359,REG_E,closed,closed,2026-02-27T19:57:00Z,app_chat,ivr_otp,Cardholder does not recognize and did not authorize an online purchase.,fraud_cnp,VISA,10.4,81.39,81.39,2026-03-03T16:00:00Z,VRL3004555582,2026-03-09,2026-04-05,,denied,merchant_won_pre_arb,2026-04-21T21:00:00Z,fraud_cnp,
DSP-2026-00045,ACC-CR-00077,CUS-00089,CRD-000099,REG_Z,closed,closed,2026-08-19T13:23:00Z,phone,ivr_otp,Cardholder does not recognize and did not authorize an online purchase.,fraud_cnp,VISA,10.4,610.48,610.48,2026-08-23T15:00:00Z,VRL7365424543,2026-08-24,,,credited,issuer_won,2026-10-09T21:00:00Z,fraud_cnp,
DSP-2026-00046,ACC-DDA-00053,CUS-00242,CRD-000277,REG_E,closed,closed,2026-01-05T17:53:00Z,secure_message,ivr_otp,Cardholder does not recognize and did not authorize an online purchase.,fraud_cnp,VISA,10.4,700.62,700.62,2026-01-10T16:00:00Z,VRL3664022295,2026-01-13,,,credited,issuer_won,2026-02-08T22:00:00Z,fraud_cnp,
DSP-2026-00047,ACC-CR-00018,CUS-00023,CRD-000026,REG_Z,open,investigating,2026-10-20T19:54:00Z,secure_message,ivr_otp,Cardholder does not recognize and did not authorize an online purchase.,fraud_cnp,VISA,,240.96,240.96,2026-10-24T15:00:00Z,,,,,,,,fraud_cnp,
DSP-2026-00048,ACC-CR-00193,CUS-00226,CRD-000259,REG_Z,closed,closed,2026-02-26T23:38:00Z,app_chat,ivr_otp,Cardholder does not recognize and did not authorize an online purchase.,fraud_cnp,VISA,10.4,903.51,903.51,2026-03-03T16:00:00Z,VRL8641507911,2026-03-02,,,credited,issuer_won,2026-04-11T21:00:00Z,fraud_cnp,
DSP-2026-00049,ACC-CR-00175,CUS-00204,CRD-000233,REG_Z,closed,closed,2026-08-20T22:10:00Z,secure_message,ivr_otp,Item received is defective / not as described.,not_as_described,VISA,13.3,121.12,121.12,2026-08-25T15:00:00Z,VRL2632179232,2026-08-29,,,credited,issuer_won,2026-09-25T21:00:00Z,consumer_disputes,
DSP-2026-00050,ACC-CR-00295,CUS-00346,CRD-000396,REG_Z,closed,closed,2026-06-19T16:00:00Z,phone,ivr_otp,Cardholder does not recognize and did not authorize an online purchase.,fraud_cnp,VISA,10.4,972.70,972.70,2026-06-24T15:00:00Z,VRL3316136913,2026-06-22,,,credited,issuer_won,2026-07-16T21:00:00Z,fraud_cnp,
DSP-2026-00051,ACC-CR-00075,CUS-00087,CRD-000097,REG_Z,closed,closed,2026-01-11T23:14:00Z,app_chat,ivr_otp,Charged more than the receipt amount.,incorrect_amount,VISA,12.5,8.11,8.11,2026-01-16T16:00:00Z,VRL3919399842,2026-01-21,,,partial_credit,issuer_won,2026-03-01T22:00:00Z,consumer_disputes,
DSP-2026-00052,ACC-CR-00297,CUS-00348,CRD-000399,REG_Z,open,dispute_filed,2026-09-26T16:50:00Z,app_chat,ivr_otp,Cardholder does not recognize and did not authorize an online purchase.,fraud_cnp,VISA,10.4,759.67,759.67,2026-09-30T15:00:00Z,VRL5174142487,2026-09-30,,,,,,fraud_cnp,
DSP-2026-00053,ACC-CR-00296,CUS-00347,CRD-000397,REG_Z,open,investigating,2026-10-18T20:35:00Z,app_chat,ivr_otp,Cardholder does not recognize and did not authorize an online purchase.,fraud_cnp,VISA,,257.54,257.54,2026-10-19T15:00:00Z,,,,,,,,fraud_cnp,
DSP-2026-00054,ACC-CR-00253,CUS-00295,CRD-000336,REG_Z,closed,closed,2026-05-26T18:20:00Z,secure_message,ivr_otp,Cardholder does not recognize and did not authorize an online purchase.,fraud_cnp,VISA,10.4,150.99,150.99,2026-05-30T15:00:00Z,VRL7552716046,2026-05-31,,,credited,issuer_won,2026-07-13T21:00:00Z,fraud_cnp,
DSP-2026-00055,ACC-CR-00286,CUS-00336,CRD-000384,REG_Z,closed,closed,2026-05-09T22:40:00Z,app_chat,ivr_otp,Does not recognize merchant name on statement.,descriptor_confusion,VISA,,53.70,,,,,,,withdrawn,not_filed,2026-05-16T21:00:00Z,consumer_disputes,
DSP-2026-00056,ACC-CR-00046,CUS-00054,CRD-000060,REG_Z,closed,closed,2026-08-09T14:40:00Z,phone,ivr_otp,Cardholder does not recognize and did not authorize an online purchase.,fraud_cnp,VISA,10.4,160.64,160.64,2026-08-10T15:00:00Z,VRL2126481167,2026-08-12,,,credited,issuer_won,2026-10-03T21:00:00Z,fraud_cnp,
DSP-2026-00057,ACC-DDA-00050,CUS-00239,CRD-000274,REG_E,closed,closed,2026-06-13T17:48:00Z,app_chat,ivr_otp,Paid for an order that never arrived.,not_received,VISA,13.1,18.88,18.88,2026-06-14T15:00:00Z,VRL3685661097,2026-06-16,,,credited,issuer_won,2026-07-01T21:00:00Z,consumer_disputes,
DSP-2026-00058,ACC-CR-00262,CUS-00306,CRD-000350,REG_Z,closed,closed,2026-04-24T13:06:00Z,app_chat,ivr_otp,Item received is defective / not as described.,not_as_described,VISA,13.3,17.47,17.47,2026-04-26T15:00:00Z,VRL8170617127,2026-04-29,,,credited,issuer_won,2026-06-08T21:00:00Z,consumer_disputes,
DSP-2026-00059,ACC-CR-00251,CUS-00293,CRD-000334,REG_Z,closed,closed,2026-01-08T17:30:00Z,secure_message,ivr_otp,Returned item; merchant promised refund that never posted.,credit_not_processed,VISA,13.6,104.56,104.56,2026-01-09T16:00:00Z,VRL6384899255,2026-01-17,,,credited,issuer_won,2026-02-19T22:00:00Z,consumer_disputes,
DSP-2026-00060,ACC-CR-00165,CUS-00191,CRD-000216,REG_Z,closed,closed,2026-06-27T12:52:00Z,app_chat,ivr_otp,Item received is defective / not as described.,not_as_described,VISA,13.3,76.30,76.30,2026-07-01T15:00:00Z,VRL9070868559,2026-07-01,,,credited,issuer_won,2026-08-10T21:00:00Z,consumer_disputes,
DSP-2026-00061,ACC-CR-00016,CUS-00019,CRD-000021,REG_Z,open,dispute_filed,2026-09-11T20:50:00Z,app_chat,ivr_otp,Paid for an order that never arrived.,not_received,VISA,13.1,114.21,114.21,2026-09-12T15:00:00Z,VRL3963065267,2026-09-17,,,,,,consumer_disputes,
DSP-2026-00062,ACC-CR-00166,CUS-00192,CRD-000218,REG_Z,open,investigating,2026-10-19T17:10:00Z,phone,ivr_otp,Does not recognize merchant name on statement.,descriptor_confusion,VISA,,3.92,,,,,,,,,,consumer_disputes,
DSP-2026-00063,ACC-CR-00242,CUS-00283,CRD-000322,REG_Z,closed,closed,2026-05-11T17:05:00Z,phone,ivr_otp,Subscription was cancelled but charges continued.,cancelled_recurring,VISA,13.2,54.00,54.00,2026-05-15T15:00:00Z,VRL9209653075,2026-05-19,,,credited,issuer_won,2026-07-01T21:00:00Z,consumer_disputes,
DSP-2026-00064,ACC-CR-00138,CUS-00162,CRD-000183,REG_Z,closed,closed,2026-07-26T19:48:00Z,phone,ivr_otp,Paid for an order that never arrived.,not_received,VISA,13.1,135.16,135.16,2026-07-27T15:00:00Z,VRL8577636298,2026-08-01,,,credited,issuer_won,2026-09-03T21:00:00Z,consumer_disputes,
DSP-2026-00065,ACC-CR-00080,CUS-00092,CRD-000103,REG_Z,closed,closed,2026-04-02T17:40:00Z,phone,ivr_otp,Paid for an order that never arrived.,not_received,VISA,13.1,77.09,77.09,2026-04-04T15:00:00Z,VRL2089779114,2026-04-07,,,credited,issuer_won,2026-06-01T21:00:00Z,consumer_disputes,
DSP-2026-00066,ACC-CR-00194,CUS-00227,CRD-000260,REG_Z,closed,closed,2026-03-21T22:18:00Z,secure_message,ivr_otp,Cardholder does not recognize and did not authorize an online purchase.,fraud_cnp,VISA,10.4,344.21,344.21,2026-03-22T15:00:00Z,VRL6018625660,2026-03-31,,,credited,issuer_won,2026-05-04T21:00:00Z,fraud_cnp,
DSP-2026-00067,ACC-CR-00086,CUS-00098,CRD-000110,REG_Z,open,dispute_filed,2026-09-24T16:15:00Z,app_chat,ivr_otp,Cancelled order within policy; no refund.,cancelled_merch,VISA,13.7,39.77,39.77,2026-09-27T15:00:00Z,VRL3584588851,2026-09-28,,,,,,consumer_disputes,
DSP-2026-00069,ACC-CR-00268,CUS-00312,CRD-000358,REG_Z,open,investigating,2026-10-17T13:49:00Z,secure_message,ivr_otp,Cardholder does not recognize and did not authorize an online purchase.,fraud_cnp,VISA,,162.68,162.68,2026-10-21T15:00:00Z,,,,,,,,fraud_cnp,
DSP-2026-00070,ACC-CR-00065,CUS-00075,CRD-000082,REG_Z,closed,closed,2026-04-28T13:39:00Z,phone,ivr_otp,Cardholder does not recognize and did not authorize an online purchase.,fraud_cnp,VISA,10.4,97.32,97.32,2026-04-29T15:00:00Z,VRL1427028808,2026-05-03,2026-05-18,,denied,merchant_won_pre_arb,2026-05-24T21:00:00Z,fraud_cnp,
DSP-2026-00071,ACC-CR-00205,CUS-00238,CRD-000273,REG_Z,closed,closed,2026-01-02T16:16:00Z,app_chat,ivr_otp,Paid for an order that never arrived.,not_received,VISA,13.1,13.81,13.81,2026-01-07T16:00:00Z,VRL7618653140,2026-01-08,,,credited,issuer_won,2026-01-24T22:00:00Z,consumer_disputes,
DSP-2026-00072,ACC-CR-00049,CUS-00057,CRD-000063,REG_Z,closed,closed,2026-03-21T16:32:00Z,app_chat,ivr_otp,Returned item; merchant promised refund that never posted.,credit_not_processed,VISA,13.6,323.92,323.92,2026-03-25T15:00:00Z,VRL3933489253,2026-03-25,,,credited,issuer_won,2026-04-27T21:00:00Z,consumer_disputes,
DSP-2026-00073,ACC-CR-00290,CUS-00341,CRD-000390,REG_Z,closed,closed,2026-01-29T17:28:00Z,app_chat,ivr_otp,Subscription was cancelled but charges continued.,cancelled_recurring,VISA,13.2,65.00,65.00,2026-01-30T16:00:00Z,VRL9789559194,2026-02-06,,,credited,issuer_won,2026-03-10T21:00:00Z,consumer_disputes,
