account_id,customer_id,role,added_at,removed_at
ACC-CR-00081,CUS-00093,primary,2024-02-23,
ACC-DDA-00015,CUS-00093,primary,2024-02-23,
ACC-CR-00082,CUS-00094,primary,2008-04-16,
ACC-CR-00083,CUS-00095,primary,2016-07-19,
ACC-CR-00084,CUS-00096,primary,2013-04-08,
ACC-CR-00085,CUS-00097,primary,2024-07-11,
ACC-CR-00086,CUS-00098,primary,2018-11-04,
ACC-CR-00087,CUS-00099,primary,2012-09-12,
ACC-CR-00088,CUS-00100,primary,2017-09-07,
ACC-DDA-00016,CUS-00100,primary,2017-09-07,
ACC-CR-00089,CUS-00101,primary,2011-09-07,
ACC-CR-00090,CUS-00102,primary,2022-11-22,
ACC-CR-00091,CUS-00103,primary,2023-02-07,
ACC-CR-00092,CUS-00104,primary,2017-02-23,
ACC-CR-00093,CUS-00105,primary,2009-11-19,
ACC-CR-00094,CUS-00106,primary,2026-06-07,
ACC-CR-00095,CUS-00107,primary,2021-02-17,
ACC-DDA-00017,CUS-00107,primary,2021-02-17,
ACC-CR-00095,CUS-00108,authorized_user,2023-05-07,
ACC-CR-00096,CUS-00109,primary,2025-09-14,
ACC-CR-00097,CUS-00110,primary,2022-01-28,
ACC-DDA-00018,CUS-00110,primary,2022-01-28,
ACC-CR-00098,CUS-00111,primary,2018-01-11,
ACC-CR-00099,CUS-00112,primary,2013-08-18,
ACC-CR-00100,CUS-00113,primary,2023-02-03,
ACC-DDA-00019,CUS-00113,primary,2023-02-03,
ACC-CR-00101,CUS-00114,primary,2022-11-12,
ACC-CR-00102,CUS-00115,primary,2015-11-23,
ACC-CR-00103,CUS-00116,primary,2026-06-26,
ACC-CR-00104,CUS-00117,primary,2020-08-27,
ACC-CR-00105,CUS-00118,primary,2024-03-07,
ACC-CR-00106,CUS-00119,primary,2025-04-19,
ACC-DDA-00020,CUS-00119,primary,2025-04-19,
ACC-CR-00107,CUS-00120,primary,2009-05-08,
ACC-CR-00108,CUS-00121,primary,2010-03-02,
ACC-CR-00109,CUS-00122,primary,2009-11-16,
ACC-CR-00110,CUS-00123,primary,2010-02-26,
ACC-DDA-00021,CUS-00123,primary,2010-02-26,
ACC-CR-00111,CUS-00124,primary,2016-05-25,
ACC-CR-00112,CUS-00125,primary,2008-08-10,
ACC-CR-00112,CUS-00126,authorized_user,2010-06-01,
ACC-CR-00113,CUS-00127,primary,2023-10-16,
ACC-CR-00114,CUS-00128,primary,2019-11-11,
ACC-DDA-00022,CUS-00129,primary,2020-11-21,
ACC-CR-00115,CUS-00130,primary,2014-07-23,
ACC-DDA-00023,CUS-00130,primary,2014-07-23,
ACC-CR-00116,CUS-00131,primary,2018-05-08,
ACC-CR-00117,CUS-00132,primary,2019-01-12,
ACC-DDA-00024,CUS-00133,primary,2012-04-07,
ACC-DDA-00025,CUS-00134,primary,2025-04-24,
ACC-CR-00118,CUS-00135,primary,2019-08-16,
ACC-CR-00119,CUS-00136,primary,2009-04-27,
ACC-CR-00119,CUS-00137,authorized_user,2011-06-23,
ACC-CR-00120,CUS-00138,primary,2022-10-08,
ACC-CR-00121,CUS-00139,primary,2016-07-15,
ACC-DDA-00026,CUS-00139,primary,2016-07-15,
ACC-DDA-00027,CUS-00140,primary,2016-09-04,
ACC-CR-00122,CUS-00141,primary,2021-05-03,
ACC-CR-00122,CUS-00142,authorized_user,2022-09-07,
ACC-CR-00123,CUS-00143,primary,2022-01-04,
ACC-CR-00124,CUS-00144,primary,2014-09-19,
ACC-CR-00125,CUS-00145,primary,2019-12-07,
ACC-CR-00126,CUS-00146,primary,2016-01-01,
ACC-CR-00127,CUS-00147,primary,2022-11-02,
ACC-CR-00128,CUS-00148,primary,2014-10-12,
ACC-CR-00128,CUS-00149,authorized_user,2016-10-31,
ACC-CR-00129,CUS-00150,primary,2022-03-07,
ACC-CR-00130,CUS-00151,primary,2018-02-18,
ACC-CR-00131,CUS-00152,primary,2024-07-01,
ACC-DDA-00028,CUS-00153,primary,2025-08-14,
ACC-CR-00132,CUS-00154,primary,2021-06-18,
ACC-CR-00133,CUS-00155,primary,2008-04-28,
ACC-CR-00134,CUS-00156,primary,2024-01-09,
ACC-DDA-00029,CUS-00156,primary,2024-01-09,
ACC-CR-00134,CUS-00157,authorized_user,2025-07-25,
ACC-CR-00135,CUS-00158,primary,2022-08-22,
ACC-CR-00136,CUS-00159,primary,2022-01-08,
ACC-CR-00137,CUS-00160,primary,2017-03-09,
ACC-DDA-00030,CUS-00161,primary,2021-04-15,
ACC-CR-00138,CUS-00162,primary,2012-09-11,
ACC-CR-00139,CUS-00163,primary,2025-01-07,
ACC-CR-00140,CUS-00164,primary,2024-02-12,
ACC-CR-00141,CUS-00165,primary,2011-03-03,
ACC-CR-00142,CUS-00166,primary,2015-12-24,
ACC-CR-00143,CUS-00167,primary,2015-01-08,
ACC-CR-00144,CUS-00168,primary,2021-06-07,
ACC-CR-00145,CUS-00169,primary,2019-02-14,
ACC-CR-00146,CUS-00170,primary,2010-10-18,
ACC-CR-00147,CUS-00171,primary,2021-04-16,
ACC-CR-00148,CUS-00172,primary,2022-12-21,
ACC-CR-00149,CUS-00173,primary,2025-03-13,
ACC-CR-00150,CUS-00174,primary,2015-03-05,
ACC-DDA-00031,CUS-00174,primary,2015-03-05,
ACC-CR-00151,CUS-00175,primary,2012-03-26,
ACC-CR-00152,CUS-00176,primary,2008-03-07,
ACC-CR-00153,CUS-00177,primary,2016-06-10,
ACC-CR-00153,CUS-00178,authorized_user,2016-07-17,
ACC-DDA-00032,CUS-00179,primary,2010-04-04,
ACC-CR-00154,CUS-00180,primary,2021-06-04,
ACC-DDA-00033,CUS-00180,primary,2021-06-04,
ACC-CR-00155,CUS-00181,primary,2020-11-19,
ACC-DDA-00034,CUS-00181,primary,2020-11-19,
ACC-CR-00156,CUS-00182,primary,2015-01-05,
ACC-CR-00157,CUS-00183,primary,2010-01-24,
ACC-CR-00158,CUS-00184,primary,2019-01-19,
ACC-CR-00159,CUS-00185,primary,2018-10-25,
ACC-CR-00160,CUS-00186,primary,2017-02-17,
ACC-DDA-00035,CUS-00186,primary,2017-02-17,
ACC-CR-00161,CUS-00187,primary,2009-11-23,
ACC-CR-00162,CUS-00188,primary,2016-11-03,
ACC-CR-00163,CUS-00189,primary,2011-05-06,
ACC-CR-00164,CUS-00190,primary,2018-09-23,
ACC-CR-00165,CUS-00191,primary,2023-04-18,
ACC-DDA-00036,CUS-00191,primary,2023-04-18,
ACC-CR-00166,CUS-00192,primary,2010-04-08,
ACC-CR-00167,CUS-00193,primary,2021-08-10,
ACC-CR-00167,CUS-00194,authorized_user,2022-10-11,
ACC-CR-00168,CUS-00195,primary,2017-07-13,
ACC-DDA-00037,CUS-00195,primary,2017-07-13,
ACC-CR-00169,CUS-00196,primary,2011-05-21,
ACC-CR-00169,CUS-00197,authorized_user,2011-08-17,
ACC-CR-00170,CUS-00198,primary,2008-10-01,
ACC-CR-00171,CUS-00199,primary,2009-05-02,
ACC-DDA-00038,CUS-00199,primary,2009-05-02,
ACC-CR-00171,CUS-00200,authorized_user,2011-05-29,
ACC-CR-00172,CUS-00201,primary,2016-04-17,
ACC-CR-00173,CUS-00202,primary,2022-10-15,
ACC-CR-00174,CUS-00203,primary,2023-03-21,
ACC-DDA-00039,CUS-00203,primary,2023-03-21,
ACC-CR-00175,CUS-00204,primary,2010-07-07,
ACC-CR-00176,CUS-00205,primary,2012-08-04,
ACC-CR-00177,CUS-00206,primary,2023-06-26,
ACC-DDA-00040,CUS-00207,primary,2021-01-26,
ACC-DDA-00041,CUS-00208,primary,2021-06-13,
ACC-CR-00178,CUS-00209,primary,2021-05-06,
ACC-CR-00179,CUS-00210,primary,2010-07-20,
ACC-CR-00180,CUS-00211,primary,2013-12-02,
ACC-DDA-00042,CUS-00211,primary,2013-12-02,
ACC-CR-00181,CUS-00212,primary,2026-06-28,
ACC-CR-00182,CUS-00213,primary,2012-09-03,
ACC-CR-00183,CUS-00214,primary,2010-12-09,
ACC-CR-00184,CUS-00215,primary,2017-07-26,
ACC-CR-00185,CUS-00216,primary,2021-02-21,
ACC-DDA-00043,CUS-00216,primary,2021-02-21,
ACC-DDA-00044,CUS-00217,primary,2010-10-20,
ACC-CR-00186,CUS-00218,primary,2024-06-14,
ACC-DDA-00045,CUS-00218,primary,2024-06-14,
ACC-CR-00187,CUS-00219,primary,2013-08-01,
ACC-CR-00188,CUS-00220,primary,2022-02-23,
ACC-CR-00189,CUS-00221,primary,2025-02-05,
ACC-DDA-00046,CUS-00221,primary,2025-02-05,
ACC-CR-00190,CUS-00222,primary,2026-06-16,
ACC-DDA-00047,CUS-00223,primary,2011-10-20,
ACC-CR-00191,CUS-00224,primary,2026-06-21,
ACC-CR-00192,CUS-00225,primary,2013-05-07,
ACC-CR-00193,CUS-00226,primary,2025-07-28,
ACC-CR-00194,CUS-00227,primary,2018-05-09,
ACC-CR-00195,CUS-00228,primary,2022-11-05,
ACC-CR-00196,CUS-00229,primary,2021-11-12,
ACC-CR-00197,CUS-00230,primary,2019-02-09,
ACC-CR-00198,CUS-00231,primary,2025-09-14,
ACC-CR-00199,CUS-00232,primary,2016-12-21,
ACC-DDA-00048,CUS-00232,primary,2016-12-21,
ACC-CR-00200,CUS-00233,primary,2022-08-05,
ACC-DDA-00049,CUS-00233,primary,2022-08-05,
ACC-CR-00201,CUS-00234,primary,2026-06-23,
ACC-CR-00202,CUS-00235,primary,2017-09-27,
ACC-CR-00203,CUS-00236,primary,2022-08-01,
ACC-CR-00204,CUS-00237,primary,2025-04-22,
ACC-CR-00205,CUS-00238,primary,2020-07-19,
ACC-DDA-00050,CUS-00239,primary,2008-05-17,
ACC-DDA-00051,CUS-00240,primary,2014-09-09,
ACC-DDA-00052,CUS-00241,primary,2023-09-28,
ACC-DDA-00053,CUS-00242,primary,2014-03-27,
ACC-CR-00206,CUS-00243,primary,2017-06-12,
ACC-CR-00207,CUS-00244,primary,2021-12-22,
ACC-CR-00208,CUS-00245,primary,2018-03-28,
ACC-CR-00209,CUS-00246,primary,2013-11-02,
ACC-DDA-00054,CUS-00246,primary,2013-11-02,
ACC-CR-00210,CUS-00247,primary,2017-10-08,
ACC-CR-00211,CUS-00248,primary,2018-02-14,
ACC-CR-00211,CUS-00249,authorized_user,2018-05-31,
ACC-CR-00212,CUS-00250,primary,2022-10-08,
ACC-CR-00213,CUS-00251,primary,2026-06-01,
ACC-CR-00214,CUS-00252,primary,2023-02-13,
ACC-CR-00215,CUS-00253,primary,2017-12-02,
ACC-CR-00216,CUS-00254,primary,2025-06-07,
ACC-CR-00217,CUS-00255,primary,2016-05-15,
ACC-CR-00218,CUS-00256,primary,2011-10-02,
ACC-CR-00219,CUS-00257,primary,2020-12-11,
ACC-CR-00220,CUS-00258,primary,2012-04-13,
ACC-CR-00221,CUS-00259,primary,2022-04-09,
ACC-CR-00222,CUS-00260,primary,2026-06-08,
ACC-CR-00223,CUS-00261,primary,2026-06-16,
ACC-CR-00224,CUS-00262,primary,2017-07-20,
ACC-CR-00225,CUS-00263,primary,2012-08-17,
ACC-CR-00226,CUS-00264,primary,2018-02-14,
ACC-CR-00226,CUS-00265,authorized_user,2020-05-28,
ACC-CR-00227,CUS-00266,primary,2022-06-10,
ACC-CR-00228,CUS-00267,primary,2019-01-18,
ACC-CR-00229,CUS-00268,primary,2023-03-17,
ACC-CR-00230,CUS-00269,primary,2008-05-03,
ACC-CR-00231,CUS-00270,primary,2009-01-21,
ACC-CR-00232,CUS-00271,primary,2020-01-24,
ACC-CR-00232,CUS-00272,authorized_user,2020-10-03,
ACC-CR-00233,CUS-00273,primary,2012-01-13,
ACC-CR-00234,CUS-00274,primary,2014-06-12,
ACC-CR-00235,CUS-00275,primary,2026-06-09,
ACC-DDA-00055,CUS-00275,primary,2026-06-09,
ACC-DDA-00056,CUS-00276,primary,2025-05-20,
ACC-CR-00236,CUS-00277,primary,2013-07-04,
ACC-CR-00237,CUS-00278,primary,2011-01-14,
ACC-DDA-00057,CUS-00278,primary,2011-01-14,
ACC-CR-00238,CUS-00279,primary,2021-10-07,
ACC-CR-00239,CUS-00280,primary,2026-06-23,
ACC-CR-00240,CUS-00281,primary,2021-10-06,
ACC-DDA-00058,CUS-00281,primary,2021-10-06,
ACC-CR-00241,CUS-00282,primary,2015-03-07,
ACC-CR-00242,CUS-00283,primary,2025-04-07,
ACC-CR-00243,CUS-00284,primary,2013-04-01,
ACC-CR-00244,CUS-00285,primary,2018-04-18,
ACC-DDA-00059,CUS-00285,primary,2018-04-18,
ACC-CR-00245,CUS-00286,primary,2021-07-23,
ACC-CR-00246,CUS-00287,primary,2019-07-02,
ACC-CR-00247,CUS-00288,primary,2025-02-03,
ACC-CR-00247,CUS-00289,authorized_user,2025-02-03,
ACC-CR-00248,CUS-00290,primary,2016-01-08,
ACC-CR-00249,CUS-00291,primary,2013-05-11,
ACC-DDA-00060,CUS-00291,primary,2013-05-11,
ACC-CR-00250,CUS-00292,primary,2017-10-22,
ACC-CR-00251,CUS-00293,primary,2012-01-21,
ACC-CR-00252,CUS-00294,primary,2018-08-26,
ACC-CR-00253,CUS-00295,primary,2011-02-01,
ACC-CR-00254,CUS-00296,primary,2025-08-05,
ACC-CR-00254,CUS-00297,authorized_user,2025-08-05,
ACC-CR-00255,CUS-00298,primary,2024-04-20,
ACC-CR-00256,CUS-00299,primary,2019-12-07,
ACC-DDA-00061,CUS-00299,primary,2019-12-07,
ACC-CR-00257,CUS-00300,primary,2009-05-23,
ACC-DDA-00062,CUS-00300,primary,2009-05-23,
ACC-CR-00258,CUS-00301,primary,2013-01-03,
ACC-CR-00259,CUS-00302,primary,2015-04-01,
ACC-CR-00260,CUS-00303,primary,2015-06-23,
ACC-DDA-00063,CUS-00303,primary,2015-06-23,
ACC-CR-00261,CUS-00304,primary,2024-06-17,
ACC-CR-00261,CUS-00305,authorized_user,2026-02-27,
ACC-CR-00262,CUS-00306,primary,2013-04-25,
ACC-DDA-00064,CUS-00306,primary,2013-04-25,
ACC-CR-00263,CUS-00307,primary,2008-08-17,
ACC-CR-00264,CUS-00308,primary,2010-11-18,
ACC-CR-00265,CUS-00309,primary,2009-08-25,
ACC-DDA-00065,CUS-00309,primary,2009-08-25,
ACC-CR-00266,CUS-00310,primary,2013-08-23,
ACC-CR-00267,CUS-00311,primary,2024-01-11,
ACC-CR-00268,CUS-00312,primary,2024-02-21,
ACC-DDA-00066,CUS-00313,primary,2010-03-22,
ACC-CR-00269,CUS-00314,primary,2008-02-12,
ACC-CR-00270,CUS-00315,primary,2024-05-25,
ACC-DDA-00067,CUS-00316,primary,2024-12-11,
ACC-CR-00271,CUS-00317,primary,2018-10-16,
ACC-DDA-00068,CUS-00317,primary,2018-10-16,
ACC-DDA-00069,CUS-00318,primary,2021-07-01,
ACC-DDA-00070,CUS-00319,primary,2022-12-06,
ACC-CR-00272,CUS-00320,primary,2018-04-23,
ACC-CR-00273,CUS-00321,primary,2024-10-22,
ACC-DDA-00071,CUS-00322,primary,2015-05-26,
ACC-CR-00274,CUS-00323,primary,2023-08-24,
ACC-DDA-00072,CUS-00323,primary,2023-08-24,
ACC-CR-00275,CUS-00324,primary,2010-11-22,
ACC-CR-00276,CUS-00325,primary,2013-03-13,
ACC-CR-00277,CUS-00326,primary,2011-11-09,
ACC-CR-00278,CUS-00327,primary,2014-12-07,
ACC-CR-00279,CUS-00328,primary,2011-11-09,
ACC-CR-00280,CUS-00329,primary,2023-07-08,
ACC-CR-00281,CUS-00330,primary,2019-06-24,
ACC-CR-00282,CUS-00331,primary,2019-08-09,
ACC-CR-00283,CUS-00332,primary,2023-07-10,
ACC-CR-00284,CUS-00333,primary,2015-06-01,
ACC-CR-00285,CUS-00334,primary,2024-12-08,
ACC-DDA-00073,CUS-00335,primary,2017-09-16,
ACC-CR-00286,CUS-00336,primary,2022-05-27,
ACC-CR-00287,CUS-00337,primary,2009-04-24,
ACC-CR-00288,CUS-00338,primary,2012-07-07,
ACC-DDA-00074,CUS-00338,primary,2012-07-07,
ACC-CR-00289,CUS-00339,primary,2014-10-03,
ACC-DDA-00075,CUS-00340,primary,2024-02-17,
ACC-CR-00290,CUS-00341,primary,2018-09-26,
ACC-CR-00291,CUS-00342,primary,2014-04-04,
ACC-CR-00292,CUS-00343,primary,2025-07-18,
ACC-CR-00293,CUS-00344,primary,2021-10-22,
ACC-CR-00294,CUS-00345,primary,2026-06-11,
ACC-DDA-00076,CUS-00345,primary,2026-06-11,
ACC-CR-00295,CUS-00346,primary,2013-03-02,
ACC-CR-00296,CUS-00347,primary,2025-12-23,
ACC-DDA-00077,CUS-00347,primary,2025-12-23,
ACC-CR-00297,CUS-00348,primary,2011-01-01,
ACC-CR-00298,CUS-00349,primary,2012-07-07,
ACC-DDA-00078,CUS-00349,primary,2012-07-07,
ACC-CR-00299,CUS-00350,primary,2024-05-25,
ACC-DDA-00079,CUS-00350,primary,2024-05-25,
ACC-CR-00300,CUS-00351,primary,2022-12-06,
ACC-CR-00300,CUS-00352,authorized_user,2024-04-26,
ACC-CR-00301,CUS-00353,primary,2011-09-28,
ACC-CR-00302,CUS-00354,primary,2022-07-12,
ACC-CR-00302,CUS-00355,authorized_user,2024-08-27,
ACC-CR-00303,CUS-00356,primary,2011-10-06,
ACC-CR-00304,CUS-00357,primary,2024-02-13,
ACC-CR-90001,CUS-90001,primary,2019-03-11,
ACC-CR-90002,CUS-90002,primary,2016-05-02,
ACC-CR-90003,CUS-90003,primary,2014-08-19,
ACC-CR-90004,CUS-90004,primary,2012-02-10,
ACC-CR-90005,CUS-90005,primary,2015-10-01,
ACC-CR-90006,CUS-90006,primary,2020-02-14,
ACC-CR-90007,CUS-90007,primary,2011-06-30,
ACC-DDA-90008,CUS-90008,primary,2026-09-24,
ACC-CR-90009,CUS-90009,primary,2021-04-07,
ACC-CR-90010,CUS-90010,primary,2013-09-01,
ACC-CR-90010,CUS-90011,authorized_user,2016-02-01,
ACC-CR-90012,CUS-90012,primary,2017-05-22,
ACC-CR-90013,CUS-90013,primary,2026-03-10,
ACC-CR-90014,CUS-90014,primary,2026-04-02,
ACC-CR-90015,CUS-90015,primary,2026-04-20,
ACC-CR-90016,CUS-90016,primary,2026-05-11,
ACC-CR-90017,CUS-90017,primary,2014-07-15,
ACC-CR-90018,CUS-90018,primary,2018-01-08,
ACC-CR-90019,CUS-90019,primary,2010-03-03,
ACC-CR-90020,CUS-90020,primary,2018-09-09,
ACC-CR-90021,CUS-90021,primary,2019-12-01,
ACC-CR-90022,CUS-90022,primary,2009-05-05,
ACC-DDA-90023,CUS-90023,primary,2017-04-04,
ACC-CR-90024,CUS-90024,primary,2016-11-11,
