device_id,device_type,os,hardware_id,device_fingerprint,first_seen,observed_primary_customer_id
DEV-000032,laptop,Windows 11 24H2,,fp_1244308197306eadfe3fca83a82d1111ef02160e,2023-01-01,CUS-00019
DEV-000033,phone,Android 16,352683801353131,fp_2b481d18dc022d4493a204bcae327f778bdb2c6c,2021-11-22,CUS-00020
DEV-000034,laptop,macOS 16.2,,fp_7bbe61e690521e45c8e35a677e3d35dd39115017,2021-11-22,CUS-00020
DEV-000035,phone,Android 16,359537561307414,fp_ccd18f7b0f271e657ebfb5bec13a1be791f3db25,2023-07-06,CUS-00021
DEV-000036,laptop,Windows 11 24H2,,fp_861ce59e544b7ce504b9d55a30a6d229f1093022,2023-07-06,CUS-00021
DEV-000037,tablet,iPadOS 19.4,,fp_522d04a39312cc4a62e07b1c00a37e05e9fc94ad,2023-07-06,CUS-00021
DEV-000038,phone,Android 16,352074493669287,fp_c9d16cded548f88f7e00621a48e1169cad24fb45,2025-08-01,CUS-00022
DEV-000039,phone,iOS 19.4,355741981344945,fp_90f8fa75efb043d77096845cc674d06b8304456d,2023-06-28,CUS-00023
DEV-000040,tablet,Android 16,,fp_21d82a1c803d34948ffa718b3c18fbd9895fe731,2023-06-28,CUS-00023
DEV-000041,phone,iOS 19.4,356003310440746,fp_cfef362196917cdbc09bde9a402823f8fcc41533,2025-09-10,CUS-00024
DEV-000042,phone,Android 16,355497358914194,fp_8c4c7c4b8483ed68a97e9fca39e1b849450fdeae,2019-11-05,CUS-00025
DEV-000043,laptop,Windows 11 24H2,,fp_cde3a93ee60d94e3b676b2ccd5ee836dc07288c9,2019-11-05,CUS-00025
DEV-000044,phone,Android 16,358145105372471,fp_113ac9611274f942609f85005a69281a73c3daf2,2015-01-06,CUS-00026
DEV-000045,laptop,Windows 11 24H2,,fp_e76e612f538320ccda3a34fcb1f141c4ba37ee3a,2015-01-06,CUS-00026
DEV-000046,phone,Android 16,357856905534762,fp_a7526de7a68df6f103160df06cb057aeae5ad667,2024-05-15,CUS-00027
DEV-000047,laptop,macOS 16.2,,fp_b36507c2f567dd08cb6eda72c455f4cf948447f2,2024-05-15,CUS-00027
DEV-000048,phone,Android 16,355659371070668,fp_5f5a346b275fcd4a8936344f1891959cbebfd3d5,2023-08-12,CUS-00028
DEV-000049,laptop,macOS 16.2,,fp_e12e8f8b838c7e1c9e615ae623572c549b8a6409,2023-08-12,CUS-00028
DEV-000050,phone,Android 16,355342870114495,fp_c51230cd05193a3cd415a5a8423d1f57b47bddbb,2026-01-12,CUS-00029
DEV-000051,laptop,macOS 16.2,,fp_25d9c49ee06a1f8f3f80085c0ae2025569bacf28,2026-01-12,CUS-00029
DEV-000052,phone,iOS 19.4,352666666082707,fp_b3ec84bfe185b81cf26785843bbbb9cbf6b7a1ae,2020-02-28,CUS-00030
DEV-000053,laptop,macOS 16.2,,fp_427c7c25013adc4bb785dda872c7ab09b37839b6,2020-02-28,CUS-00030
DEV-000054,phone,iOS 19.4,351199854654479,fp_731a367e1d127f8f8976605112c3aa14db7efebc,2017-07-06,CUS-00031
DEV-000055,laptop,Windows 11 24H2,,fp_bc78db578a41bac951c3ec66dd968943bc389d92,2017-07-06,CUS-00031
DEV-000056,phone,iOS 19.4,351862038745537,fp_899b9eefa97134f9c337c43429c95e96e0a07e56,2019-11-28,CUS-00032
DEV-000057,laptop,macOS 16.2,,fp_ec228b344f939ff748411728058b9b6c65549ad7,2019-11-28,CUS-00032
DEV-000058,phone,Android 16,358260803497297,fp_8fe5e54c39038b37dbd913911c01f44d9f709d6b,2014-02-26,CUS-00033
DEV-000059,laptop,macOS 16.2,,fp_b3a1afe3a63d3f8349975cb8b0af707e1f5bcde5,2014-02-26,CUS-00033
DEV-000060,phone,Android 16,355986417802281,fp_90d8ef7a31371702ac4eced80250192da299bf4f,2023-06-22,CUS-00034
DEV-000061,laptop,Windows 11 24H2,,fp_e800430918a3c98ff8fa85ac0ad483a2b442ddf0,2023-06-22,CUS-00034
DEV-000062,phone,Android 16,352580799373179,fp_84a842acb17b2c9ed76268a20407f38587e11dce,2008-10-19,CUS-00035
DEV-000063,laptop,macOS 16.2,,fp_28d6e4372dad9769c9e9fc1d1983018b265aeddb,2008-10-19,CUS-00035
DEV-000064,phone,Android 16,354328527324689,fp_c9ac6274c1cda62251ffed126e5bd00202fd51a7,2023-11-26,CUS-00036
DEV-000065,laptop,macOS 16.2,,fp_89a1fdd4863a03b125cb15d578105b1d0fd46ca0,2023-11-26,CUS-00036
DEV-000066,phone,Android 16,355513129009504,fp_ec673de4c1fe8d9230f5e3c05fe9261c57ce190c,2019-06-18,CUS-00037
DEV-000067,phone,iOS 19.4,358836598284630,fp_b899bc638b15246c1ed0c3398180fd4284fe5765,2013-10-14,CUS-00038
DEV-000068,laptop,macOS 16.2,,fp_1fe3c4b5a95592717e0e867d9764731a6d0a0da2,2013-10-14,CUS-00038
DEV-000069,phone,Android 16,356029195085434,fp_e6b889ef477cb9e6a334cae62fde5d3e2c15543b,2016-03-13,CUS-00039
DEV-000070,laptop,macOS 16.2,,fp_7b57d24550b91cd7f79690c62fec00eb1b37e167,2016-03-13,CUS-00039
DEV-000071,phone,Android 16,351962938588804,fp_4802f421238d798144e29a9598a3ebae76f06c51,2010-06-04,CUS-00040
DEV-000072,laptop,macOS 16.2,,fp_697c4f33f851c90af1fd6864ef6502f89a0dfae5,2010-06-04,CUS-00040
DEV-000073,phone,iOS 19.4,357927778545953,fp_f5706d1214e087234331fc0937136be79f4897d9,2024-03-16,CUS-00041
DEV-000074,laptop,macOS 16.2,,fp_d9a03d4ea61711073eafe72fce3bb70b2cae2bca,2024-03-16,CUS-00041
DEV-000075,phone,iOS 19.4,353417792075490,fp_66ba2a71631e772ccf4ebba523a1e6086eeee48a,2017-06-03,CUS-00042
DEV-000076,tablet,iPadOS 19.4,,fp_a9c978eef77723367a8e9712a8bd726df0e467a7,2017-06-03,CUS-00042
DEV-000077,phone,iOS 19.4,354665458182568,fp_d4a9e5ee0a6627b5f556707dc5233c621e1769a9,2017-09-09,CUS-00043
DEV-000078,phone,Android 16,355423653298237,fp_559303e1c606206b96ce4bf050975365ac560334,2011-09-11,CUS-00044
DEV-000079,laptop,macOS 16.2,,fp_39de3f1ac2dea330f7532123e247bb05d27687cb,2011-09-11,CUS-00044
DEV-000080,phone,Android 16,358764587181988,fp_21c006c2fb0279c0b84ce7271c0dac1c3025569f,2024-03-10,CUS-00045
DEV-000081,laptop,Windows 11 24H2,,fp_cd1ee6d7d7b582fb5e0a1f619a73db3b2be7f3d8,2024-03-10,CUS-00045
DEV-000082,phone,Android 16,357327028994859,fp_db9d4983dd2471956cbb1560cd9ac711424a346f,2014-05-02,CUS-00046
DEV-000083,phone,Android 16,358174074734282,fp_d1c9b8b4b09293d90c270d507156e8dcc61b3795,2026-04-18,CUS-00047
DEV-000084,laptop,macOS 16.2,,fp_0dc5505f77f7b4e8620615a18080186b806ade9d,2026-04-18,CUS-00047
DEV-000085,phone,iOS 19.4,356496337938082,fp_088e5e962d02c301fcf8396ebc4770c0f6d367f7,2024-09-17,CUS-00048
DEV-000086,phone,Android 16,355726183143699,fp_ff1a3615f1b690f6039f65f6dd125b2f555dbdcb,2010-06-03,CUS-00049
DEV-000087,laptop,macOS 16.2,,fp_9dc94ff1dd439fee9808771a3cafcc5b7170f4bb,2010-06-03,CUS-00049
DEV-000088,phone,iOS 19.4,355511170206944,fp_c06957c0641d48e6f7c121f2c44f95efeed9a57c,2024-09-03,CUS-00050
DEV-000089,laptop,Windows 11 24H2,,fp_87aad8b3cd9eb698b5bb6f2b95be383bbac9cec6,2024-09-03,CUS-00050
DEV-000090,phone,Android 16,352503577713801,fp_08e74e6415fae0ce193ab62b6f72d6b47bf38e4f,2023-02-17,CUS-00051
DEV-000091,laptop,macOS 16.2,,fp_0640952abdb5545ad34dcbf40156828037c52ce7,2023-02-17,CUS-00051
DEV-000092,tablet,iPadOS 19.4,,fp_8cd4ba3412bf3744e8f8a8c9393d763902ef282c,2023-02-17,CUS-00051
DEV-000093,phone,iOS 19.4,352655697440758,fp_31693b3b36da9261f4dadf1a7bf69ed9d6aee2ff,2025-07-18,CUS-00052
DEV-000094,phone,iOS 19.4,354225799423058,fp_b280cfc441bc61cb1a65ccc946927d64ed389856,2011-04-26,CUS-00053
DEV-000095,phone,iOS 19.4,356408745470461,fp_635e3d61f54da4939f9480a4709de9b02da3f5aa,2013-08-01,CUS-00054
DEV-000096,laptop,Windows 11 24H2,,fp_686f31f4e532d60edd1ffe409a579ba7c4aa5fc7,2013-08-01,CUS-00054
DEV-000097,phone,Android 16,357922245123655,fp_b9ed601896fc0dd85b909a8ebc5b71a697de1cfc,2023-11-13,CUS-00055
DEV-000098,phone,iOS 19.4,351843379395240,fp_a7021d3ac5b46004f8db3c586bb19d858027ab82,2020-09-17,CUS-00056
DEV-000099,phone,Android 16,357793439134286,fp_301c6306d1cc9a89e520d18991907d08dbfe207d,2020-12-02,CUS-00057
DEV-000100,phone,iOS 19.4,354535304541659,fp_47e0f96ee3bb0ab1aa12c5acdda92a7a678e7577,2025-12-24,CUS-00058
DEV-000101,laptop,Windows 11 24H2,,fp_00ac648e9d89eb3b7d89ffc60e8f8982e3228a16,2025-12-24,CUS-00058
DEV-000102,phone,Android 16,354565381748428,fp_7e9beddc3aa23d10342d79aa399c638c0f276ad8,2021-09-15,CUS-00059
DEV-000103,laptop,macOS 16.2,,fp_9b24b812976b5220f5386e0a3f49f6d43fc71ada,2021-09-15,CUS-00059
DEV-000104,phone,Android 16,352467203619513,fp_4a3b915167ddb95bf2d71aa95e6fa15d284ef0fc,2012-08-22,CUS-00060
DEV-000105,phone,iOS 19.4,358292088744295,fp_02cce02d1e9bc45762e539be5d884d937d7c4838,2014-07-07,CUS-00061
DEV-000106,laptop,macOS 16.2,,fp_d86bdb25e8ac51a0b32dc52ab8b9d91d042d6578,2014-07-07,CUS-00061
DEV-000107,phone,iOS 19.4,354641312770079,fp_6f8a9be9e1a8c2b2133b229626fc12d07aeb346c,2013-04-18,CUS-00062
DEV-000108,laptop,Windows 11 24H2,,fp_0322cb5d7f4bfa4a9954284f0eeab573668bb364,2013-04-18,CUS-00062
DEV-000109,phone,iOS 19.4,354311273898322,fp_54fc89be977e3edf27ccd214c8f7ca97cea7e3e6,2023-06-18,CUS-00063
DEV-000110,laptop,Windows 11 24H2,,fp_c0be4810cc17d5e99d05b0950001bad7147e9133,2023-06-18,CUS-00063
DEV-000111,phone,iOS 19.4,351267989141920,fp_8e2808ecc9da83c2ed1cfec4d1c1c4305950edc1,2023-02-04,CUS-00064
DEV-000112,phone,Android 16,355126120399662,fp_a7dfb9ab1317480d67d1668a163adeef4eef2dc9,2011-02-26,CUS-00065
DEV-000113,laptop,macOS 16.2,,fp_500fcf2221f50e200e3706f62189cb99baa8d1df,2011-02-26,CUS-00065
DEV-000114,phone,Android 16,352451661040910,fp_f209ac05073184c88c0a71a26d162f9d30bf3712,2021-12-22,CUS-00066
DEV-000115,laptop,Windows 11 24H2,,fp_7702a61d27f99977435b5d5afa14a545cb987fe5,2021-12-22,CUS-00066
DEV-000116,phone,iOS 19.4,358046995459217,fp_cbfe717be43d334052237619aa76da53c9303308,2021-10-19,CUS-00067
DEV-000117,laptop,Windows 11 24H2,,fp_0bceb5288a221a88952100088925064613c84d14,2021-10-19,CUS-00067
DEV-000118,tablet,Android 16,,fp_9854ce66bfa6f4612b780e3b34db459f9f53f79b,2021-10-19,CUS-00067
DEV-000119,phone,Android 16,354753243686232,fp_83a5edd9602457f1588dba4796f0185d56f22d0d,2023-07-04,CUS-00068
DEV-000120,phone,Android 16,358488824713257,fp_9d052c0d4f551f39b83b1887e4e541ff2fdd8477,2016-01-25,CUS-00069
DEV-000121,phone,Android 16,353764771233378,fp_43155d967c37bebe848610b3e57f6d8256111f3b,2025-07-04,CUS-00070
DEV-000122,laptop,macOS 16.2,,fp_bd86e90e5c4dc5fcb2b87904d86d4529bd9bcc66,2025-07-04,CUS-00070
DEV-000123,phone,Android 16,354086806538477,fp_f3bd97fdb3b1f0d7c94a5aa57254fecee7c32dfc,2018-11-13,CUS-00071
DEV-000124,laptop,macOS 16.2,,fp_a3c2186b185e556bb4ce9b3519c74e7d65c9d062,2018-11-13,CUS-00071
DEV-000125,phone,Android 16,351132245939671,fp_c0d8f4c6486b62648d3feed16e465540ec769290,2018-08-19,CUS-00072
DEV-000126,laptop,Windows 11 24H2,,fp_4adef14d7190c96ae74bf94392572a84eb8a1453,2018-08-19,CUS-00072
DEV-000127,phone,iOS 19.4,356906040739593,fp_c0bc78320158b90c36f86e267785624f89055305,2025-07-11,CUS-00073
DEV-000128,laptop,Windows 11 24H2,,fp_907ee231940be3383f4c77334ebf250d07f5ea67,2025-07-11,CUS-00073
DEV-000129,phone,Android 16,357558764681574,fp_88c64318482c40805b19321c2d9c5bba59c26b86,2017-11-01,CUS-00074
DEV-000130,laptop,Windows 11 24H2,,fp_5f05323817f9fcc521622a44aff759bb974527ca,2017-11-01,CUS-00074
DEV-000131,phone,Android 16,352987614473261,fp_498dfa99b9aabd22ecd8c5034ba3676d2b5b8cde,2025-07-16,CUS-00075
DEV-000132,laptop,Windows 11 24H2,,fp_94477d29a99df4de85de7843bfacc87ee9652a24,2025-07-16,CUS-00075
DEV-000133,tablet,iPadOS 19.4,,fp_913a3866c64e6d556106abdb069e3a1fa1e61718,2025-07-16,CUS-00075
DEV-000134,phone,iOS 19.4,357177262434714,fp_0f182887fa4d9d5ebf1727f3b3bbf83ff3ab7e28,2025-07-16,CUS-00076
DEV-000135,phone,Android 16,354434506827100,fp_3d807c8fdc3aaf935317db0e220ad57a6c3789b1,2019-04-22,CUS-00077
DEV-000136,laptop,macOS 16.2,,fp_0cba06b2fbc2aafe722534b973f2acbce03bc444,2019-04-22,CUS-00077
DEV-000137,phone,iOS 19.4,354284537662082,fp_0d092c2a3547cd519f4e7a3a04819710442d9185,2026-06-23,CUS-00078
DEV-000138,laptop,Windows 11 24H2,,fp_14c3e0ce6f2847d22424aa129c650e1209cd650e,2026-06-23,CUS-00078
DEV-000139,phone,iOS 19.4,356475776444768,fp_201ff9f02e7a7ca60892f03283f3b208467cd970,2026-03-22,CUS-00079
DEV-000140,phone,iOS 19.4,358127644632729,fp_b88be80ddf0a2c843f0e96203bdf2e97ac126822,2013-03-22,CUS-00080
DEV-000141,laptop,Windows 11 24H2,,fp_ebe3caa23cad35d97a45c5445a0ad87b03c3e6f4,2013-03-22,CUS-00080
DEV-000142,phone,iOS 19.4,354104750350769,fp_1fa09dc9f891cd28e99244a206db323051de27d7,2019-07-04,CUS-00081
DEV-000143,laptop,Windows 11 24H2,,fp_076a1c046724341b477a28133f6aa1d8a8226758,2019-07-04,CUS-00081
DEV-000144,tablet,iPadOS 19.4,,fp_54c8e8e677be3a3318487471dc7732587bdd0bfd,2019-07-04,CUS-00081
DEV-000145,phone,Android 16,353693504889676,fp_cc42b36d47befc628239b2e5dc52994e1102f3e3,2021-09-08,CUS-00082
DEV-000146,phone,iOS 19.4,354016589957251,fp_e9c5682a88bc60343c84f21cb731c104c45ba169,2024-01-15,CUS-00083
DEV-000147,phone,iOS 19.4,351036240668577,fp_0f586e718c4b0d0be7ad311f262cb61f8a481db2,2020-02-24,CUS-00084
DEV-000148,laptop,Windows 11 24H2,,fp_2efa18b72e4df6f9842277b2c2b56567206ef66f,2020-02-24,CUS-00084
DEV-000149,phone,iOS 19.4,359321271167550,fp_893c54e654f6ce908c0edb41a6819f7c849d945c,2016-06-18,CUS-00085
DEV-000150,phone,Android 16,355219576819875,fp_14ef3692a0eaba500c45b0763c6899e6a5402e56,2021-01-18,CUS-00086
DEV-000151,laptop,Windows 11 24H2,,fp_e4dcd856a62fbd818de9e86a58452d20f942d51b,2021-01-18,CUS-00086
DEV-000152,phone,Android 16,356946137026373,fp_8470a320255b694c52bbefd3262ec27d161065ef,2025-12-22,CUS-00087
DEV-000153,phone,Android 16,359653981326895,fp_80200d6d9f16a6352c08c13b252b8afc3f64415a,2011-12-05,CUS-00088
DEV-000154,laptop,macOS 16.2,,fp_303d90e788924dfab046e861cb263c756a26eafe,2011-12-05,CUS-00088
DEV-000155,phone,iOS 19.4,358764974411226,fp_ad284c189689da07a8c2a0c3067beff5bd88e417,2024-02-08,CUS-00089
DEV-000156,laptop,macOS 16.2,,fp_b59cf80821c69f3c4ba7fb3a5fca8094c3be6bb3,2024-02-08,CUS-00089
DEV-000157,phone,Android 16,357978498424940,fp_d6be5368d042e98f636b135ae6176ec7ad80bdd0,2015-07-17,CUS-00090
DEV-000158,laptop,macOS 16.2,,fp_efcf601d5e789bb5e35a190228d00ce210a8f9ad,2015-07-17,CUS-00090
DEV-000159,phone,Android 16,352781919003591,fp_0c789f6f74caa920718ac1808dafa158c9450484,2024-06-08,CUS-00091
DEV-000160,laptop,Windows 11 24H2,,fp_457d1287ec7fbff6bf0f2b01197af93d40591618,2024-06-08,CUS-00091
DEV-000161,phone,iOS 19.4,356006631553229,fp_467cd48240d327ede92c552136464ab1f72f0a79,2014-02-14,CUS-00092
DEV-000162,laptop,macOS 16.2,,fp_630ed6d32a3cdd00f51e725ca947b547ff24cc3c,2014-02-14,CUS-00092
DEV-000163,phone,Android 16,357385811275026,fp_cfde1a2213f8e94145330647cfb12ba96fd3ec9c,2024-02-23,CUS-00093
DEV-000164,phone,Android 16,354549142988296,fp_3a03e4ca4bcdb52e46d1f24e5fdb6a5e33f4a4c3,2008-04-16,CUS-00094
DEV-000165,laptop,Windows 11 24H2,,fp_8247aff63b9755909df81eb2dc56b7b8052e6899,2008-04-16,CUS-00094
DEV-000166,phone,iOS 19.4,359450438723971,fp_c678a7a5cf8c2bf7ecc1e94008372e5d67e04293,2016-07-19,CUS-00095
DEV-000167,phone,Android 16,357394448691226,fp_173b2211c7485d71f03393594d285934c80d7702,2013-04-08,CUS-00096
DEV-000168,laptop,Windows 11 24H2,,fp_d165b33be2fcbe85edf355a64661eac7fe1ad9f7,2013-04-08,CUS-00096
DEV-000169,phone,iOS 19.4,352147826536770,fp_c161318ba57455f4553fef8bd4af8e7eeca50665,2024-07-11,CUS-00097
DEV-000170,laptop,Windows 11 24H2,,fp_5038121ed99462b2efa26913bfc3747dfef9bf07,2024-07-11,CUS-00097
DEV-000171,phone,iOS 19.4,355744654005869,fp_6c11ddb2872c75e6acd3809ee8e398820ad1da89,2018-11-04,CUS-00098
DEV-000172,laptop,macOS 16.2,,fp_e88a2a5d56d4a2825521d0a39eaed7b7e2b3d1a6,2018-11-04,CUS-00098
DEV-000173,phone,iOS 19.4,354633890758812,fp_8525c05a941f4d05e973a85f7008265863c764f5,2012-09-12,CUS-00099
DEV-000174,laptop,Windows 11 24H2,,fp_b7d6b2dd51e7f53bae0f1b685582f024a449dd21,2012-09-12,CUS-00099
DEV-000175,phone,iOS 19.4,358581133383218,fp_1428e474bd0eb4fcb210e9dd8085983f238b21f9,2017-09-07,CUS-00100
DEV-000176,laptop,macOS 16.2,,fp_7e8bc7f60a129c9b57597b1c7dfdb3ecddffbba5,2017-09-07,CUS-00100
DEV-000177,phone,iOS 19.4,359386094865090,fp_41c60c2d353306677bb63a085661a3d29d45a819,2011-09-07,CUS-00101
DEV-000178,laptop,Windows 11 24H2,,fp_aac0ad97352edc02e48c1fa1d605cdc33ab29184,2011-09-07,CUS-00101
DEV-000179,phone,Android 16,357043090123147,fp_517a73e5e338d2c0685f2e5cf159f7e1315413d3,2022-11-22,CUS-00102
DEV-000180,laptop,Windows 11 24H2,,fp_0b62b7be4fd54c49f6bb94e6ffc3fb5a5f6a621a,2022-11-22,CUS-00102
DEV-000181,phone,iOS 19.4,351592251366412,fp_5a7777fc3031680cb0782554966b8b957e5911b7,2023-02-07,CUS-00103
DEV-000182,laptop,Windows 11 24H2,,fp_ad130ce054e45c98bf2cbcef589bfd204921ce62,2023-02-07,CUS-00103
DEV-000183,phone,iOS 19.4,359097582641182,fp_d2757a7ff8a6a8499b8abe5187277165b42bf254,2017-02-23,CUS-00104
DEV-000184,phone,iOS 19.4,357330189214617,fp_82127fbabb22a598c49d3274a8e428a72875bf72,2009-11-19,CUS-00105
DEV-000185,phone,iOS 19.4,359926245163137,fp_bf56d90a49a7d9b9f8a0fea5abc4a86d2c15ddac,2026-06-07,CUS-00106
DEV-000186,laptop,macOS 16.2,,fp_1839970aabbe8bae018d7c3f8147cf1f5390dc15,2026-06-07,CUS-00106
DEV-000187,phone,Android 16,357747524363956,fp_f38d5f4355e0eae523654d314d714915bac10d6b,2021-02-17,CUS-00107
DEV-000188,laptop,Windows 11 24H2,,fp_a8ac6619e48827b8ee7dfb4c7001cd287386f30a,2021-02-17,CUS-00107
DEV-000189,tablet,iPadOS 19.4,,fp_c84d8d829ae3af9f2c63baae0cad461095fee2f6,2021-02-17,CUS-00107
DEV-000190,phone,Android 16,354874521649912,fp_b02d04784704c6edcd9e41d7e6104b90a15c677c,2023-05-07,CUS-00108
DEV-000191,phone,iOS 19.4,358165892617375,fp_530569f9eaa11aa2e923983c642a3fc3b7546ed1,2025-09-14,CUS-00109
DEV-000192,laptop,Windows 11 24H2,,fp_813da33ce9709092120ab2178e686494081aa8cd,2025-09-14,CUS-00109
DEV-000193,phone,iOS 19.4,357898879464645,fp_f5ea89deafa2ccd165974104a1fb243dcec40f51,2022-01-28,CUS-00110
DEV-000194,laptop,Windows 11 24H2,,fp_f731302f3765c93be9b3e5d6dbc31366c7d51dd8,2022-01-28,CUS-00110
DEV-000195,phone,iOS 19.4,355063900752699,fp_220c5e98a6d146868064e0a02ec8ef4f8eff7f4c,2018-01-11,CUS-00111
DEV-000196,laptop,macOS 16.2,,fp_cd8e513eb9f8c5ecd18974eaf15a52e1d9479556,2018-01-11,CUS-00111
DEV-000197,phone,iOS 19.4,355849654388872,fp_a16f051fda0118020cccee65a01bf3ed856d5710,2013-08-18,CUS-00112
DEV-000198,phone,Android 16,358680144268048,fp_f2413f17ce5d8b18b7fd3b6194c32836491b2f31,2023-02-03,CUS-00113
DEV-000199,laptop,Windows 11 24H2,,fp_8fa64515d30db3729a7526a84c80c529133b251a,2023-02-03,CUS-00113
DEV-000200,phone,Android 16,358319894873293,fp_9e93b1b980bfd0d7b7d22c6f83d739c6a4d249c4,2022-11-12,CUS-00114
DEV-000201,laptop,macOS 16.2,,fp_5e21809992813bcd7a15d6b9b9169cfffe9fe1ff,2022-11-12,CUS-00114
DEV-000202,phone,Android 16,354028883868690,fp_98a533823faf73cd8473d00b4e473b39bb3d96a0,2015-11-23,CUS-00115
DEV-000203,laptop,Windows 11 24H2,,fp_257a845d98a9f06fe9fdd22895287003e60362f8,2015-11-23,CUS-00115
DEV-000204,phone,Android 16,358618895843750,fp_b45f9e6b7216604c5bcb3bfb6e399b637fe53912,2026-06-26,CUS-00116
DEV-000205,phone,iOS 19.4,353560740689698,fp_8620edc7c6c4bbfb790263c57e199e6ee9db6eec,2020-08-27,CUS-00117
DEV-000206,laptop,Windows 11 24H2,,fp_6c057d839cdb80898cca34ceb9ad407b3a1343cb,2020-08-27,CUS-00117
DEV-000207,phone,Android 16,352814808627138,fp_48c9fa2a09a39b6c8ade09aae0009b4dd2a119a6,2024-03-07,CUS-00118
DEV-000208,phone,Android 16,359854564090944,fp_00ecbc97f5fcfff7229a7b7c382b517beb30883a,2025-04-19,CUS-00119
DEV-000209,laptop,Windows 11 24H2,,fp_9d26baf0f61aa1e15295b5825fc14e943d6eb518,2025-04-19,CUS-00119
