account_id,primary_customer_id,product,regime,opened_at,status,credit_limit,apr,statement_cycle_day,payment_behavior,autopay,first_deposit_date
ACC-CR-00041,CUS-00048,lanternfield_visa_signature_credit,REG_Z,2024-09-17,open,15000,27.24,20,partial,true,
ACC-CR-00042,CUS-00049,lanternfield_visa_signature_credit,REG_Z,2010-06-03,open,1500,27.24,1,minimum,false,
ACC-DDA-00008,CUS-00049,lanternfield_visa_debit_checking,REG_E,2010-06-03,open,,,28,,,2010-06-05
ACC-CR-00043,CUS-00050,lanternfield_visa_signature_credit,REG_Z,2024-09-03,open,15000,24.99,21,partial,false,
ACC-CR-00044,CUS-00051,lanternfield_visa_signature_credit,REG_Z,2023-02-17,open,5000,22.49,7,pay_in_full,false,
ACC-CR-00045,CUS-00053,lanternfield_visa_signature_credit,REG_Z,2011-04-26,open,1500,24.99,22,pay_in_full,false,
ACC-CR-00046,CUS-00054,lanternfield_visa_signature_credit,REG_Z,2013-08-01,open,1500,24.99,10,pay_in_full,false,
ACC-CR-00047,CUS-00055,lanternfield_visa_signature_credit,REG_Z,2023-11-13,open,1500,24.99,24,partial,true,
ACC-CR-00048,CUS-00056,lanternfield_visa_signature_credit,REG_Z,2020-09-17,open,3000,27.24,28,partial,false,
ACC-CR-00049,CUS-00057,lanternfield_visa_signature_credit,REG_Z,2020-12-02,open,15000,22.49,16,pay_in_full,true,
ACC-CR-00050,CUS-00058,lanternfield_visa_signature_credit,REG_Z,2025-12-24,open,7500,29.49,10,pay_in_full,false,
ACC-CR-00051,CUS-00059,lanternfield_visa_signature_credit,REG_Z,2021-09-15,open,15000,29.49,3,pay_in_full,true,
ACC-CR-00052,CUS-00060,lanternfield_visa_signature_credit,REG_Z,2012-08-22,open,5000,29.49,2,partial,true,
ACC-CR-00053,CUS-00061,lanternfield_visa_signature_credit,REG_Z,2014-07-07,open,15000,27.24,2,partial,true,
ACC-CR-00054,CUS-00062,lanternfield_visa_signature_credit,REG_Z,2013-04-18,open,15000,29.49,27,partial,false,
ACC-CR-00055,CUS-00063,lanternfield_visa_signature_credit,REG_Z,2023-06-18,open,7500,24.99,13,partial,false,
ACC-CR-00056,CUS-00064,lanternfield_visa_signature_credit,REG_Z,2023-02-04,open,15000,29.49,4,partial,false,
ACC-CR-00057,CUS-00065,lanternfield_visa_signature_credit,REG_Z,2011-02-26,open,5000,19.99,17,pay_in_full,false,
ACC-CR-00058,CUS-00066,lanternfield_visa_signature_credit,REG_Z,2021-12-22,open,3000,29.49,21,partial,false,
ACC-CR-00059,CUS-00067,lanternfield_visa_signature_credit,REG_Z,2021-10-19,open,25000,29.49,25,pay_in_full,false,
ACC-DDA-00009,CUS-00067,lanternfield_visa_debit_checking,REG_E,2021-10-19,open,,,28,,,2021-10-21
ACC-CR-00060,CUS-00069,lanternfield_visa_signature_credit,REG_Z,2016-01-25,open,3000,19.99,27,pay_in_full,false,
ACC-CR-00061,CUS-00070,lanternfield_visa_signature_credit,REG_Z,2025-07-04,open,7500,19.99,12,pay_in_full,true,
ACC-CR-00062,CUS-00071,lanternfield_visa_signature_credit,REG_Z,2018-11-13,open,25000,24.99,22,pay_in_full,true,
ACC-CR-00063,CUS-00072,lanternfield_visa_signature_credit,REG_Z,2018-08-19,open,15000,24.99,20,partial,false,
ACC-CR-00064,CUS-00073,lanternfield_visa_signature_credit,REG_Z,2025-07-11,open,25000,24.99,22,pay_in_full,false,
ACC-DDA-00010,CUS-00074,lanternfield_visa_debit_checking,REG_E,2017-11-01,open,,,28,,,2017-11-03
ACC-CR-00065,CUS-00075,lanternfield_visa_signature_credit,REG_Z,2025-07-16,open,10000,29.49,3,partial,true,
ACC-CR-00066,CUS-00077,lanternfield_visa_signature_credit,REG_Z,2019-04-22,open,7500,24.99,17,pay_in_full,false,
ACC-DDA-00011,CUS-00077,lanternfield_visa_debit_checking,REG_E,2019-04-22,open,,,28,,,2019-04-26
ACC-CR-00067,CUS-00078,lanternfield_visa_signature_credit,REG_Z,2026-06-23,open,7500,24.99,20,pay_in_full,true,
ACC-CR-00068,CUS-00079,lanternfield_visa_signature_credit,REG_Z,2026-03-22,open,3000,19.99,13,partial,false,
ACC-DDA-00012,CUS-00079,lanternfield_visa_debit_checking,REG_E,2026-03-22,open,,,28,,,2026-03-26
ACC-CR-00069,CUS-00080,lanternfield_visa_signature_credit,REG_Z,2013-03-22,open,15000,19.99,11,partial,false,
ACC-CR-00070,CUS-00081,lanternfield_visa_signature_credit,REG_Z,2019-07-04,open,1500,22.49,23,partial,false,
ACC-CR-00071,CUS-00083,lanternfield_visa_signature_credit,REG_Z,2024-01-15,open,25000,29.49,8,pay_in_full,false,
ACC-DDA-00013,CUS-00083,lanternfield_visa_debit_checking,REG_E,2024-01-15,open,,,28,,,2024-01-17
ACC-CR-00072,CUS-00084,lanternfield_visa_signature_credit,REG_Z,2020-02-24,open,5000,22.49,25,partial,false,
ACC-CR-00073,CUS-00085,lanternfield_visa_signature_credit,REG_Z,2016-06-18,open,7500,29.49,2,partial,false,
ACC-CR-00074,CUS-00086,lanternfield_visa_signature_credit,REG_Z,2021-01-18,open,5000,29.49,8,partial,false,
ACC-CR-00075,CUS-00087,lanternfield_visa_signature_credit,REG_Z,2025-12-22,open,10000,19.99,8,pay_in_full,false,
ACC-CR-00076,CUS-00088,lanternfield_visa_signature_credit,REG_Z,2011-12-05,open,3000,19.99,16,pay_in_full,false,
ACC-CR-00077,CUS-00089,lanternfield_visa_signature_credit,REG_Z,2024-02-08,open,1500,19.99,4,pay_in_full,false,
ACC-DDA-00014,CUS-00089,lanternfield_visa_debit_checking,REG_E,2024-02-08,open,,,28,,,2024-02-09
ACC-CR-00078,CUS-00090,lanternfield_visa_signature_credit,REG_Z,2015-07-17,open,25000,27.24,2,partial,true,
ACC-CR-00079,CUS-00091,lanternfield_visa_signature_credit,REG_Z,2024-06-08,open,25000,29.49,28,partial,false,
ACC-CR-00080,CUS-00092,lanternfield_visa_signature_credit,REG_Z,2014-02-14,open,5000,19.99,24,pay_in_full,false,
ACC-CR-00081,CUS-00093,lanternfield_visa_signature_credit,REG_Z,2024-02-23,open,10000,27.24,1,pay_in_full,false,
ACC-DDA-00015,CUS-00093,lanternfield_visa_debit_checking,REG_E,2024-02-23,open,,,28,,,2024-02-28
ACC-CR-00082,CUS-00094,lanternfield_visa_signature_credit,REG_Z,2008-04-16,open,25000,27.24,18,partial,false,
ACC-CR-00083,CUS-00095,lanternfield_visa_signature_credit,REG_Z,2016-07-19,open,25000,24.99,28,partial,false,
ACC-CR-00084,CUS-00096,lanternfield_visa_signature_credit,REG_Z,2013-04-08,open,15000,24.99,5,partial,false,
ACC-CR-00085,CUS-00097,lanternfield_visa_signature_credit,REG_Z,2024-07-11,open,3000,29.49,26,partial,true,
ACC-CR-00086,CUS-00098,lanternfield_visa_signature_credit,REG_Z,2018-11-04,open,15000,22.49,10,partial,false,
ACC-CR-00087,CUS-00099,lanternfield_visa_signature_credit,REG_Z,2012-09-12,open,25000,27.24,4,minimum,false,
ACC-CR-00088,CUS-00100,lanternfield_visa_signature_credit,REG_Z,2017-09-07,open,7500,27.24,13,pay_in_full,false,
ACC-DDA-00016,CUS-00100,lanternfield_visa_debit_checking,REG_E,2017-09-07,open,,,28,,,2017-09-12
ACC-CR-00089,CUS-00101,lanternfield_visa_signature_credit,REG_Z,2011-09-07,open,25000,24.99,16,pay_in_full,true,
ACC-CR-00090,CUS-00102,lanternfield_visa_signature_credit,REG_Z,2022-11-22,open,1500,29.49,25,pay_in_full,true,
ACC-CR-00091,CUS-00103,lanternfield_visa_signature_credit,REG_Z,2023-02-07,open,7500,22.49,15,partial,false,
ACC-CR-00092,CUS-00104,lanternfield_visa_signature_credit,REG_Z,2017-02-23,open,7500,29.49,24,pay_in_full,false,
ACC-CR-00093,CUS-00105,lanternfield_visa_signature_credit,REG_Z,2009-11-19,open,10000,22.49,20,partial,false,
ACC-CR-00094,CUS-00106,lanternfield_visa_signature_credit,REG_Z,2026-06-07,open,3000,22.49,13,pay_in_full,true,
ACC-CR-00095,CUS-00107,lanternfield_visa_signature_credit,REG_Z,2021-02-17,open,7500,19.99,15,partial,true,
ACC-DDA-00017,CUS-00107,lanternfield_visa_debit_checking,REG_E,2021-02-17,open,,,28,,,2021-02-20
ACC-CR-00096,CUS-00109,lanternfield_visa_signature_credit,REG_Z,2025-09-14,open,7500,19.99,21,minimum,true,
ACC-CR-00097,CUS-00110,lanternfield_visa_signature_credit,REG_Z,2022-01-28,open,25000,22.49,16,pay_in_full,false,
ACC-DDA-00018,CUS-00110,lanternfield_visa_debit_checking,REG_E,2022-01-28,open,,,28,,,2022-01-29
ACC-CR-00098,CUS-00111,lanternfield_visa_signature_credit,REG_Z,2018-01-11,open,25000,24.99,7,partial,false,
ACC-CR-00099,CUS-00112,lanternfield_visa_signature_credit,REG_Z,2013-08-18,open,25000,19.99,25,pay_in_full,false,
ACC-CR-00100,CUS-00113,lanternfield_visa_signature_credit,REG_Z,2023-02-03,open,3000,24.99,2,pay_in_full,false,
ACC-DDA-00019,CUS-00113,lanternfield_visa_debit_checking,REG_E,2023-02-03,open,,,28,,,2023-02-07
ACC-CR-00101,CUS-00114,lanternfield_visa_signature_credit,REG_Z,2022-11-12,open,10000,22.49,28,pay_in_full,false,
ACC-CR-00102,CUS-00115,lanternfield_visa_signature_credit,REG_Z,2015-11-23,open,15000,29.49,4,partial,false,
ACC-CR-00103,CUS-00116,lanternfield_visa_signature_credit,REG_Z,2026-06-26,open,10000,27.24,8,pay_in_full,false,
ACC-CR-00104,CUS-00117,lanternfield_visa_signature_credit,REG_Z,2020-08-27,open,1500,27.24,27,pay_in_full,false,
ACC-CR-00105,CUS-00118,lanternfield_visa_signature_credit,REG_Z,2024-03-07,open,15000,24.99,27,partial,false,
ACC-CR-00106,CUS-00119,lanternfield_visa_signature_credit,REG_Z,2025-04-19,open,3000,24.99,24,pay_in_full,false,
ACC-DDA-00020,CUS-00119,lanternfield_visa_debit_checking,REG_E,2025-04-19,open,,,28,,,2025-04-24
ACC-CR-00107,CUS-00120,lanternfield_visa_signature_credit,REG_Z,2009-05-08,open,10000,27.24,13,pay_in_full,true,
ACC-CR-00108,CUS-00121,lanternfield_visa_signature_credit,REG_Z,2010-03-02,open,5000,19.99,22,pay_in_full,true,
ACC-CR-00109,CUS-00122,lanternfield_visa_signature_credit,REG_Z,2009-11-16,open,7500,24.99,23,partial,true,
ACC-CR-00110,CUS-00123,lanternfield_visa_signature_credit,REG_Z,2010-02-26,open,3000,29.49,21,partial,false,
ACC-DDA-00021,CUS-00123,lanternfield_visa_debit_checking,REG_E,2010-02-26,open,,,28,,,2010-02-28
ACC-CR-00111,CUS-00124,lanternfield_visa_signature_credit,REG_Z,2016-05-25,open,1500,22.49,22,partial,false,
ACC-CR-00112,CUS-00125,lanternfield_visa_signature_credit,REG_Z,2008-08-10,open,7500,29.49,2,partial,true,
ACC-CR-00113,CUS-00127,lanternfield_visa_signature_credit,REG_Z,2023-10-16,open,25000,27.24,21,partial,false,
ACC-CR-00114,CUS-00128,lanternfield_visa_signature_credit,REG_Z,2019-11-11,open,7500,22.49,16,partial,true,
ACC-DDA-00022,CUS-00129,lanternfield_visa_debit_checking,REG_E,2020-11-21,open,,,28,,,2020-11-22
ACC-CR-00115,CUS-00130,lanternfield_visa_signature_credit,REG_Z,2014-07-23,open,5000,29.49,3,pay_in_full,false,
ACC-DDA-00023,CUS-00130,lanternfield_visa_debit_checking,REG_E,2014-07-23,open,,,28,,,2014-07-24
ACC-CR-00116,CUS-00131,lanternfield_visa_signature_credit,REG_Z,2018-05-08,open,25000,19.99,11,partial,false,
ACC-CR-00117,CUS-00132,lanternfield_visa_signature_credit,REG_Z,2019-01-12,open,7500,24.99,13,partial,true,
ACC-DDA-00024,CUS-00133,lanternfield_visa_debit_checking,REG_E,2012-04-07,open,,,28,,,2012-04-09
ACC-DDA-00025,CUS-00134,lanternfield_visa_debit_checking,REG_E,2025-04-24,open,,,28,,,2025-04-26
ACC-CR-00118,CUS-00135,lanternfield_visa_signature_credit,REG_Z,2019-08-16,open,5000,22.49,4,partial,true,
ACC-CR-00119,CUS-00136,lanternfield_visa_signature_credit,REG_Z,2009-04-27,open,15000,27.24,19,partial,false,
ACC-CR-00120,CUS-00138,lanternfield_visa_signature_credit,REG_Z,2022-10-08,open,25000,24.99,3,partial,true,
ACC-CR-00121,CUS-00139,lanternfield_visa_signature_credit,REG_Z,2016-07-15,open,3000,19.99,10,pay_in_full,false,
ACC-DDA-00026,CUS-00139,lanternfield_visa_debit_checking,REG_E,2016-07-15,open,,,28,,,2016-07-19
ACC-DDA-00027,CUS-00140,lanternfield_visa_debit_checking,REG_E,2016-09-04,open,,,28,,,2016-09-08
ACC-CR-00122,CUS-00141,lanternfield_visa_signature_credit,REG_Z,2021-05-03,open,3000,19.99,17,pay_in_full,true,
ACC-CR-00123,CUS-00143,lanternfield_visa_signature_credit,REG_Z,2022-01-04,open,7500,27.24,17,pay_in_full,false,
ACC-CR-00124,CUS-00144,lanternfield_visa_signature_credit,REG_Z,2014-09-19,open,25000,24.99,26,partial,true,
ACC-CR-00125,CUS-00145,lanternfield_visa_signature_credit,REG_Z,2019-12-07,open,5000,22.49,17,partial,false,
ACC-CR-00126,CUS-00146,lanternfield_visa_signature_credit,REG_Z,2016-01-01,open,15000,24.99,1,pay_in_full,false,
ACC-CR-00127,CUS-00147,lanternfield_visa_signature_credit,REG_Z,2022-11-02,open,25000,19.99,5,pay_in_full,false,
ACC-CR-00128,CUS-00148,lanternfield_visa_signature_credit,REG_Z,2014-10-12,open,1500,19.99,10,pay_in_full,true,
ACC-CR-00129,CUS-00150,lanternfield_visa_signature_credit,REG_Z,2022-03-07,open,5000,27.24,10,minimum,false,
ACC-CR-00130,CUS-00151,lanternfield_visa_signature_credit,REG_Z,2018-02-18,open,10000,22.49,27,pay_in_full,false,
ACC-CR-00131,CUS-00152,lanternfield_visa_signature_credit,REG_Z,2024-07-01,open,15000,27.24,3,partial,false,
ACC-DDA-00028,CUS-00153,lanternfield_visa_debit_checking,REG_E,2025-08-14,open,,,28,,,2025-08-19
ACC-CR-00132,CUS-00154,lanternfield_visa_signature_credit,REG_Z,2021-06-18,open,7500,27.24,14,partial,false,
ACC-CR-00133,CUS-00155,lanternfield_visa_signature_credit,REG_Z,2008-04-28,open,1500,27.24,27,partial,true,
ACC-CR-00134,CUS-00156,lanternfield_visa_signature_credit,REG_Z,2024-01-09,open,1500,22.49,28,pay_in_full,true,
ACC-DDA-00029,CUS-00156,lanternfield_visa_debit_checking,REG_E,2024-01-09,open,,,28,,,2024-01-11
ACC-CR-00135,CUS-00158,lanternfield_visa_signature_credit,REG_Z,2022-08-22,open,25000,22.49,14,partial,false,
ACC-CR-00136,CUS-00159,lanternfield_visa_signature_credit,REG_Z,2022-01-08,open,3000,27.24,9,partial,true,
ACC-CR-00137,CUS-00160,lanternfield_visa_signature_credit,REG_Z,2017-03-09,open,25000,19.99,23,partial,false,
ACC-DDA-00030,CUS-00161,lanternfield_visa_debit_checking,REG_E,2021-04-15,open,,,28,,,2021-04-18
ACC-CR-00138,CUS-00162,lanternfield_visa_signature_credit,REG_Z,2012-09-11,open,15000,24.99,10,pay_in_full,true,
ACC-CR-00139,CUS-00163,lanternfield_visa_signature_credit,REG_Z,2025-01-07,open,15000,27.24,24,pay_in_full,false,
ACC-CR-00140,CUS-00164,lanternfield_visa_signature_credit,REG_Z,2024-02-12,open,10000,19.99,21,minimum,true,
ACC-CR-00141,CUS-00165,lanternfield_visa_signature_credit,REG_Z,2011-03-03,open,3000,29.49,20,pay_in_full,true,
ACC-CR-00142,CUS-00166,lanternfield_visa_signature_credit,REG_Z,2015-12-24,open,25000,27.24,21,pay_in_full,true,
ACC-CR-00143,CUS-00167,lanternfield_visa_signature_credit,REG_Z,2015-01-08,open,3000,22.49,10,minimum,true,
ACC-CR-00144,CUS-00168,lanternfield_visa_signature_credit,REG_Z,2021-06-07,open,7500,19.99,22,pay_in_full,false,
ACC-CR-00145,CUS-00169,lanternfield_visa_signature_credit,REG_Z,2019-02-14,open,15000,24.99,24,partial,true,
ACC-CR-00146,CUS-00170,lanternfield_visa_signature_credit,REG_Z,2010-10-18,open,10000,22.49,27,pay_in_full,true,
ACC-CR-00147,CUS-00171,lanternfield_visa_signature_credit,REG_Z,2021-04-16,open,15000,22.49,11,pay_in_full,true,
ACC-CR-00148,CUS-00172,lanternfield_visa_signature_credit,REG_Z,2022-12-21,open,3000,22.49,1,partial,true,
ACC-CR-00149,CUS-00173,lanternfield_visa_signature_credit,REG_Z,2025-03-13,open,5000,29.49,6,partial,false,
ACC-CR-00150,CUS-00174,lanternfield_visa_signature_credit,REG_Z,2015-03-05,open,15000,22.49,25,pay_in_full,true,
ACC-DDA-00031,CUS-00174,lanternfield_visa_debit_checking,REG_E,2015-03-05,open,,,28,,,2015-03-09
ACC-CR-00151,CUS-00175,lanternfield_visa_signature_credit,REG_Z,2012-03-26,open,10000,24.99,8,partial,true,
ACC-CR-00152,CUS-00176,lanternfield_visa_signature_credit,REG_Z,2008-03-07,open,10000,29.49,15,pay_in_full,true,
ACC-CR-00153,CUS-00177,lanternfield_visa_signature_credit,REG_Z,2016-06-10,open,3000,27.24,24,pay_in_full,false,
ACC-DDA-00032,CUS-00179,lanternfield_visa_debit_checking,REG_E,2010-04-04,open,,,28,,,2010-04-05
ACC-CR-00154,CUS-00180,lanternfield_visa_signature_credit,REG_Z,2021-06-04,open,7500,24.99,28,partial,true,
ACC-DDA-00033,CUS-00180,lanternfield_visa_debit_checking,REG_E,2021-06-04,open,,,28,,,2021-06-09
ACC-CR-00155,CUS-00181,lanternfield_visa_signature_credit,REG_Z,2020-11-19,open,15000,29.49,21,partial,true,
ACC-DDA-00034,CUS-00181,lanternfield_visa_debit_checking,REG_E,2020-11-19,open,,,28,,,2020-11-20
ACC-CR-00156,CUS-00182,lanternfield_visa_signature_credit,REG_Z,2015-01-05,open,15000,29.49,18,partial,true,
ACC-CR-00157,CUS-00183,lanternfield_visa_signature_credit,REG_Z,2010-01-24,open,1500,24.99,9,partial,true,
ACC-CR-00158,CUS-00184,lanternfield_visa_signature_credit,REG_Z,2019-01-19,open,15000,29.49,9,pay_in_full,false,
ACC-CR-00159,CUS-00185,lanternfield_visa_signature_credit,REG_Z,2018-10-25,open,7500,22.49,18,minimum,false,
ACC-CR-00160,CUS-00186,lanternfield_visa_signature_credit,REG_Z,2017-02-17,open,1500,27.24,7,pay_in_full,true,
ACC-DDA-00035,CUS-00186,lanternfield_visa_debit_checking,REG_E,2017-02-17,open,,,28,,,2017-02-18
ACC-CR-00161,CUS-00187,lanternfield_visa_signature_credit,REG_Z,2009-11-23,open,10000,27.24,1,partial,false,
ACC-CR-00162,CUS-00188,lanternfield_visa_signature_credit,REG_Z,2016-11-03,open,15000,24.99,23,pay_in_full,true,
ACC-CR-00163,CUS-00189,lanternfield_visa_signature_credit,REG_Z,2011-05-06,open,3000,24.99,5,pay_in_full,false,
ACC-CR-00164,CUS-00190,lanternfield_visa_signature_credit,REG_Z,2018-09-23,open,3000,19.99,17,pay_in_full,true,
ACC-CR-00165,CUS-00191,lanternfield_visa_signature_credit,REG_Z,2023-04-18,open,1500,27.24,16,pay_in_full,true,
ACC-DDA-00036,CUS-00191,lanternfield_visa_debit_checking,REG_E,2023-04-18,open,,,28,,,2023-04-19
ACC-CR-00166,CUS-00192,lanternfield_visa_signature_credit,REG_Z,2010-04-08,open,3000,29.49,9,minimum,false,
ACC-CR-00167,CUS-00193,lanternfield_visa_signature_credit,REG_Z,2021-08-10,open,15000,29.49,23,partial,true,
ACC-CR-00168,CUS-00195,lanternfield_visa_signature_credit,REG_Z,2017-07-13,open,10000,22.49,3,minimum,false,
ACC-DDA-00037,CUS-00195,lanternfield_visa_debit_checking,REG_E,2017-07-13,open,,,28,,,2017-07-17
ACC-CR-00169,CUS-00196,lanternfield_visa_signature_credit,REG_Z,2011-05-21,open,3000,22.49,23,pay_in_full,false,
ACC-CR-00170,CUS-00198,lanternfield_visa_signature_credit,REG_Z,2008-10-01,open,1500,19.99,3,pay_in_full,false,
ACC-CR-00171,CUS-00199,lanternfield_visa_signature_credit,REG_Z,2009-05-02,open,10000,24.99,13,pay_in_full,false,
ACC-DDA-00038,CUS-00199,lanternfield_visa_debit_checking,REG_E,2009-05-02,open,,,28,,,2009-05-03
ACC-CR-00172,CUS-00201,lanternfield_visa_signature_credit,REG_Z,2016-04-17,open,7500,29.49,27,pay_in_full,true,
ACC-CR-00173,CUS-00202,lanternfield_visa_signature_credit,REG_Z,2022-10-15,open,10000,19.99,22,pay_in_full,false,
ACC-CR-00174,CUS-00203,lanternfield_visa_signature_credit,REG_Z,2023-03-21,open,10000,24.99,4,minimum,true,
ACC-DDA-00039,CUS-00203,lanternfield_visa_debit_checking,REG_E,2023-03-21,open,,,28,,,2023-03-25
ACC-CR-00175,CUS-00204,lanternfield_visa_signature_credit,REG_Z,2010-07-07,open,15000,22.49,4,partial,false,
ACC-CR-00176,CUS-00205,lanternfield_visa_signature_credit,REG_Z,2012-08-04,open,7500,22.49,20,pay_in_full,false,
ACC-CR-00177,CUS-00206,lanternfield_visa_signature_credit,REG_Z,2023-06-26,open,7500,27.24,1,partial,false,
ACC-DDA-00040,CUS-00207,lanternfield_visa_debit_checking,REG_E,2021-01-26,open,,,28,,,2021-01-30
ACC-DDA-00041,CUS-00208,lanternfield_visa_debit_checking,REG_E,2021-06-13,open,,,28,,,2021-06-14
ACC-CR-00178,CUS-00209,lanternfield_visa_signature_credit,REG_Z,2021-05-06,open,1500,24.99,19,partial,false,
