address_id,line1,line2,city,state,postal_code,country,lat,lon,address_type
ADR-000028,4434 Rookwood Blvd,,Westerville,OH,43091,US,40.12196,-82.92817,residential
ADR-000029,2110 Elmsworth Ct,,Westerville,OH,43038,US,40.07359,-82.93357,commercial
ADR-000030,1895 Larchmont Rise St,,Columbus,OH,43206,US,39.92166,-82.94329,residential
ADR-000031,2337 Carroll Bend St,,Columbus,OH,43250,US,39.90278,-83.02921,commercial
ADR-000032,4732 Elmsworth Way,,Los Angeles,CA,90070,US,34.08006,-118.27906,residential
ADR-000033,4413 Fennimore Pl,,Los Angeles,CA,90082,US,34.07649,-118.19528,commercial
ADR-000034,3281 Dovetail St,,Los Angeles,CA,90013,US,34.05968,-118.2707,commercial
ADR-000035,4444 Oriel Ave,Apt 14B,Cleveland,OH,44180,US,41.46271,-81.65687,residential
ADR-000036,1179 Thistledown St,,Cleveland,OH,44144,US,41.54134,-81.72475,commercial
ADR-000037,788 Copperleaf St,,Boston,MA,02158,US,42.3652,-71.07123,residential
ADR-000038,2226 Elmsworth Ave,,Boston,MA,02170,US,42.30773,-71.02128,commercial
ADR-000039,1617 Stonebrook Ln,,Chicago,IL,60614,US,41.85911,-87.61722,residential
ADR-000040,4938 Willowmere Blvd,,Austin,TX,78739,US,30.21165,-97.70162,residential
ADR-000041,1909 Saffron Hill Rd,,Austin,TX,78719,US,30.23675,-97.70569,commercial
ADR-000042,1944 Fennimore Rd,,Cleveland,OH,44199,US,41.54452,-81.65297,residential
ADR-000043,2556 Kestrel Run Pl,,Chicago,IL,60611,US,41.84369,-87.66931,residential
ADR-000044,1623 Larchmont Rise Rd,,Chicago,IL,60697,US,41.92108,-87.65841,commercial
ADR-000045,1033 Zephyr Glen Dr,,Columbus,OH,43269,US,39.96839,-83.05036,residential
ADR-000046,1704 Harrowgate Ave,,Boston,MA,02175,US,42.34215,-71.0729,residential
ADR-000047,4372 Ivybridge Rd,Apt 14C,Columbus,OH,43289,US,40.00638,-82.98164,residential
ADR-000048,1937 Saffron Hill Way,,Columbus,OH,43284,US,40.01979,-82.94701,commercial
ADR-000049,1351 Umberfield Ave,,Denver,CO,80273,US,39.73532,-104.99376,residential
ADR-000050,3360 Fennimore St,,Denver,CO,80219,US,39.69214,-105.04,commercial
ADR-000051,1968 Zephyr Glen Ave,,Columbus,OH,43282,US,39.90485,-83.03793,residential
ADR-000052,4814 Glenhaven Rd,,Columbus,OH,43255,US,39.90963,-82.96304,commercial
ADR-000053,1189 Quarry Lake Dr,,Columbus,OH,43206,US,39.93654,-82.9802,residential
ADR-000054,4580 Saffron Hill Ave,,Columbus,OH,43289,US,39.986,-83.03097,commercial
ADR-000055,4734 Yarrow Way,Apt 21B,Seattle,WA,98114,US,47.63214,-122.33151,residential
ADR-000056,3753 Bramblewood Ln,,Seattle,WA,98155,US,47.55833,-122.34488,commercial
ADR-000057,2701 Vantage Point Ave,,Chicago,IL,60685,US,41.91059,-87.59118,residential
ADR-000058,3671 Quarry Lake Blvd,,Chicago,IL,60674,US,41.85018,-87.60174,commercial
ADR-000059,1091 Vantage Point Ln,Apt 17B,Columbus,OH,43275,US,39.90692,-83.03095,residential
ADR-000060,2044 Maple Ridge Pl,Apt 3F,Chicago,IL,60659,US,41.92289,-87.62786,residential
ADR-000061,2416 Dovetail Ct,,Chicago,IL,60694,US,41.82312,-87.63167,commercial
ADR-000062,1640 Kestrel Run Blvd,Apt 19D,Columbus,OH,43297,US,40.0137,-83.02303,residential
ADR-000063,1525 Ivybridge Ct,,Columbus,OH,43238,US,39.9897,-82.95428,commercial
ADR-000064,1704 Saffron Hill Ave,,Chicago,IL,60667,US,41.87008,-87.63169,residential
ADR-000065,2389 Saffron Hill Rd,,Chicago,IL,60669,US,41.8564,-87.68417,commercial
ADR-000066,408 Bramblewood Pl,,Chicago,IL,60620,US,41.82896,-87.68424,residential
ADR-000067,3843 Oriel Ct,,Chicago,IL,60631,US,41.84434,-87.57566,commercial
ADR-000068,4920 Kestrel Run Dr,,Columbus,OH,43267,US,39.92648,-82.98238,residential
ADR-000069,3997 Dovetail Pl,,Columbus,OH,43235,US,39.96975,-82.97133,commercial
ADR-000070,19 Wharfside Rd,Apt 21D,Jersey City,NJ,07324,US,40.67953,-74.02132,residential
ADR-000071,4601 Zephyr Glen Ln,,Jersey City,NJ,07322,US,40.77534,-74.0326,commercial
ADR-000072,2642 Thistledown St,,Seattle,WA,98169,US,47.58282,-122.34133,residential
ADR-000073,4135 Norwood Fen Rd,,Seattle,WA,98191,US,47.65593,-122.38483,commercial
ADR-000074,2167 Carroll Bend Dr,,Pittsburgh,PA,15286,US,40.39183,-80.05368,residential
ADR-000075,3080 Carroll Bend Pl,,Seattle,WA,98141,US,47.59454,-122.29533,residential
ADR-000076,1745 Juniper Hollow Ave,,Jersey City,NJ,07363,US,40.75995,-74.07229,residential
ADR-000077,3844 Brindle Dr,,Seattle,WA,98183,US,47.56626,-122.29325,residential
ADR-000078,4261 Marigold Ln,,Seattle,WA,98152,US,47.58539,-122.37815,commercial
ADR-000079,3847 Kestrel Run Ct,,Los Angeles,CA,90093,US,34.02422,-118.27371,residential
ADR-000080,2069 Thistledown Ln,,Los Angeles,CA,90051,US,34.05354,-118.30224,commercial
ADR-000081,1773 Dovetail Ln,,Los Angeles,CA,90006,US,34.06602,-118.3018,commercial
ADR-000082,1957 Yarrow St,,Los Angeles,CA,90014,US,34.02588,-118.25401,residential
ADR-000083,2303 Fennimore Pl,,Los Angeles,CA,90031,US,34.01231,-118.2866,commercial
ADR-000084,756 Alder Crest Ave,,Columbus,OH,43214,US,39.9357,-83.03843,residential
ADR-000085,1790 Marigold Dr,,Denver,CO,80268,US,39.70354,-105.01002,residential
ADR-000086,4811 Marigold Dr,,Denver,CO,80235,US,39.77387,-104.98982,commercial
ADR-000087,4227 Bramblewood Rd,,Denver,CO,80221,US,39.70716,-105.04717,residential
ADR-000088,4679 Oriel Ct,,Denver,CO,80242,US,39.79798,-104.94669,commercial
ADR-000089,515 Rookwood Dr,,Brooklyn,NY,11252,US,40.73323,-73.9015,residential
ADR-000090,1479 Willowmere Ct,,Brooklyn,NY,11265,US,40.6818,-73.97602,commercial
ADR-000091,4550 Alder Crest Dr,Apt 13A,Pittsburgh,PA,15285,US,40.47551,-79.96435,residential
ADR-000092,1701 Oriel Rd,Apt 13B,Austin,TX,78729,US,30.32632,-97.68502,residential
ADR-000093,992 Oriel Rd,,Austin,TX,78744,US,30.22228,-97.78577,commercial
ADR-000094,1141 Elmsworth Way,,Brooklyn,NY,11295,US,40.65655,-73.97691,residential
ADR-000095,4268 Brindle Pl,Apt 21C,Cleveland,OH,44194,US,41.44773,-81.72381,residential
ADR-000096,2223 Thistledown Way,,Cleveland,OH,44163,US,41.44047,-81.75358,commercial
ADR-000097,4161 Larchmont Rise St,,Jersey City,NJ,07399,US,40.6756,-74.01847,residential
ADR-000098,4668 Umberfield Ln,,Los Angeles,CA,90083,US,34.03337,-118.1949,residential
ADR-000099,3701 Maple Ridge Way,,Los Angeles,CA,90014,US,34.04884,-118.22338,commercial
ADR-000100,1952 Quarry Lake St,,Denver,CO,80270,US,39.74769,-105.04201,residential
ADR-000101,2660 Willowmere Pl,,Denver,CO,80249,US,39.77212,-104.93693,commercial
ADR-000102,3904 Umberfield Rd,,Chicago,IL,60667,US,41.90636,-87.60617,residential
ADR-000103,3010 Ivybridge Ln,,Columbus,OH,43253,US,39.94264,-83.05617,residential
ADR-000104,4424 Harrowgate Rd,,Columbus,OH,43227,US,39.93705,-82.94742,commercial
ADR-000105,72 Maple Ridge Ct,,Denver,CO,80290,US,39.74313,-104.9448,residential
ADR-000106,83 Saffron Hill Rd,,Austin,TX,78781,US,30.30703,-97.70087,residential
ADR-000107,1550 Glenhaven Ave,,Austin,TX,78746,US,30.32551,-97.75714,commercial
ADR-000108,1388 Elmsworth Blvd,,Seattle,WA,98185,US,47.60617,-122.29037,residential
ADR-000109,1154 Dovetail Ave,,Seattle,WA,98158,US,47.63121,-122.33513,commercial
ADR-000110,1801 Ivybridge St,,Westerville,OH,43032,US,40.10662,-82.94879,residential
ADR-000111,3162 Pemberly Ave,,Westerville,OH,43034,US,40.15992,-82.94902,commercial
ADR-000112,3208 Larchmont Rise Dr,,Westerville,OH,43002,US,40.07351,-82.91292,residential
ADR-000113,4614 Thistledown Pl,,Westerville,OH,43018,US,40.1111,-82.88495,commercial
ADR-000114,3670 Oriel St,Apt 16C,Pittsburgh,PA,15297,US,40.47148,-80.03865,residential
ADR-000115,202 Wharfside Dr,,Pittsburgh,PA,15226,US,40.42201,-79.94355,commercial
ADR-000116,1965 Norwood Fen St,,Austin,TX,78771,US,30.24074,-97.78967,residential
ADR-000117,2119 Fennimore Way,,Austin,TX,78717,US,30.28879,-97.7663,commercial
ADR-000118,4971 Stonebrook Ave,,Seattle,WA,98159,US,47.60293,-122.33461,residential
ADR-000119,1379 Dovetail Dr,,Seattle,WA,98185,US,47.63934,-122.38691,commercial
ADR-000120,1982 Pemberly St,,Seattle,WA,98140,US,47.55963,-122.30004,commercial
ADR-000121,452 Elmsworth Rd,,Chicago,IL,60671,US,41.87178,-87.58406,residential
ADR-000122,4322 Vantage Point Rd,,Columbus,OH,43210,US,40.00919,-82.94183,residential
ADR-000123,2362 Yarrow St,,Los Angeles,CA,90044,US,33.99398,-118.26683,residential
ADR-000124,2170 Yarrow Ct,Apt 21D,Los Angeles,CA,90062,US,34.09448,-118.2473,residential
ADR-000125,1173 Marigold Ln,,Austin,TX,78786,US,30.2574,-97.76467,residential
ADR-000126,2103 Yarrow Pl,Apt 2E,Austin,TX,78728,US,30.27234,-97.6952,residential
ADR-000127,4326 Dovetail Ave,,Austin,TX,78767,US,30.25425,-97.69644,commercial
ADR-000128,2649 Juniper Hollow Ave,Apt 22F,Chicago,IL,60653,US,41.858,-87.68813,residential
ADR-000129,1030 Stonebrook St,,Chicago,IL,60619,US,41.88715,-87.64315,commercial
ADR-000130,3077 Elmsworth Ct,Apt 5A,Columbus,OH,43265,US,39.99202,-82.98375,residential
ADR-000131,3579 Bramblewood Blvd,,Austin,TX,78712,US,30.21145,-97.80003,residential
ADR-000132,327 Maple Ridge Rd,,Austin,TX,78707,US,30.22413,-97.72624,commercial
ADR-000133,2333 Glenhaven Way,,Austin,TX,78755,US,30.24447,-97.77906,residential
ADR-000134,3661 Willowmere Ln,Apt 24C,Chicago,IL,60608,US,41.86236,-87.66641,residential
ADR-000135,2607 Ivybridge Ln,,Columbus,OH,43240,US,40.00295,-83.02172,residential
ADR-000136,41 Quarry Lake Blvd,,Cleveland,OH,44195,US,41.53487,-81.66641,residential
ADR-000137,3240 Fennimore Dr,,Cleveland,OH,44108,US,41.47105,-81.72118,commercial
ADR-000138,2225 Ivybridge Pl,,Cleveland,OH,44155,US,41.51475,-81.7175,residential
ADR-000139,4233 Vantage Point Rd,,Cleveland,OH,44122,US,41.46557,-81.73513,commercial
ADR-000140,2979 Elmsworth Way,,Denver,CO,80225,US,39.78991,-105.03812,residential
ADR-000141,1633 Kestrel Run Way,,Denver,CO,80285,US,39.72889,-104.93711,commercial
ADR-000142,4586 Marigold Way,Apt 20E,Brooklyn,NY,11275,US,40.64057,-73.98618,residential
ADR-000143,1831 Harrowgate Blvd,,Pittsburgh,PA,15207,US,40.39982,-79.94688,residential
ADR-000144,798 Zephyr Glen Way,,Cleveland,OH,44119,US,41.45671,-81.72378,residential
ADR-000145,3437 Rookwood Dr,,Boston,MA,02114,US,42.32024,-71.00856,residential
ADR-000146,4728 Zephyr Glen Way,,Boston,MA,02191,US,42.3765,-71.00074,commercial
ADR-000147,221 Vantage Point Ct,,Westerville,OH,43007,US,40.10891,-82.87432,residential
ADR-000148,1602 Willowmere Way,,Westerville,OH,43006,US,40.11928,-82.94005,commercial
ADR-000149,2891 Zephyr Glen Rd,Apt 21A,Austin,TX,78714,US,30.23475,-97.79705,residential
ADR-000150,1016 Marigold Pl,,Austin,TX,78744,US,30.27896,-97.72481,commercial
ADR-000151,3367 Maple Ridge Ave,,Seattle,WA,98120,US,47.62658,-122.3464,residential
ADR-000152,1352 Rookwood Ln,,Pittsburgh,PA,15257,US,40.47475,-80.01878,residential
ADR-000153,1036 Oriel Blvd,,Cleveland,OH,44116,US,41.50486,-81.6541,residential
ADR-000154,65 Maple Ridge Way,,Cleveland,OH,44194,US,41.44556,-81.74248,commercial
ADR-000155,3436 Oriel St,,Cleveland,OH,44134,US,41.44499,-81.69814,residential
ADR-000156,1014 Wharfside Dr,,Cleveland,OH,44135,US,41.52239,-81.68077,commercial
ADR-000157,3469 Glenhaven Rd,,Los Angeles,CA,90083,US,34.01284,-118.22849,residential
ADR-000158,3722 Umberfield Dr,Apt 1A,Boston,MA,02117,US,42.36002,-71.02312,residential
ADR-000159,737 Norwood Fen St,,Boston,MA,02169,US,42.31118,-71.05661,commercial
ADR-000160,1515 Yarrow Ave,,Chicago,IL,60693,US,41.90782,-87.59332,residential
ADR-000161,3417 Kestrel Run Ln,,Columbus,OH,43283,US,39.98079,-83.02359,residential
ADR-000162,2682 Umberfield Dr,,Columbus,OH,43275,US,40.00138,-82.96886,commercial
ADR-000163,426 Saffron Hill Ln,Apt 7E,Brooklyn,NY,11296,US,40.68243,-73.97859,residential
ADR-000164,2415 Oriel Rd,,Columbus,OH,43234,US,39.95384,-83.01772,residential
ADR-000165,3232 Quarry Lake Blvd,,Austin,TX,78795,US,30.21228,-97.68902,residential
ADR-000166,2291 Rookwood Blvd,Apt 10C,Los Angeles,CA,90033,US,34.0103,-118.28577,residential
ADR-000167,2636 Norwood Fen St,,Los Angeles,CA,90015,US,33.99395,-118.22032,commercial
ADR-000168,3524 Thistledown Rd,Apt 9F,Austin,TX,78756,US,30.31374,-97.79399,residential
ADR-000169,595 Zephyr Glen Pl,,Los Angeles,CA,90045,US,34.02134,-118.19426,residential
ADR-000170,3781 Glenhaven St,,Los Angeles,CA,90099,US,34.05683,-118.19379,commercial
ADR-000171,2199 Willowmere Dr,,Denver,CO,80213,US,39.71878,-105.01996,residential
ADR-000172,253 Carroll Bend Ave,,Denver,CO,80260,US,39.69442,-104.98632,commercial
ADR-000173,1765 Ivybridge Dr,,Los Angeles,CA,90062,US,34.08783,-118.27053,residential
ADR-000174,4151 Saffron Hill Rd,Apt 16C,Jersey City,NJ,07376,US,40.69549,-73.99171,residential
ADR-000175,4668 Stonebrook Ln,,Seattle,WA,98157,US,47.62641,-122.32136,residential
ADR-000176,3422 Wharfside Pl,,Seattle,WA,98108,US,47.63623,-122.37471,commercial
ADR-000177,1815 Norwood Fen Ave,,Chicago,IL,60641,US,41.90804,-87.6087,residential
ADR-000178,1586 Carroll Bend Rd,,Chicago,IL,60629,US,41.91097,-87.66121,commercial
ADR-000179,2114 Fennimore St,,Brooklyn,NY,11232,US,40.72921,-73.99131,residential
ADR-000180,3831 Fennimore Ct,,Brooklyn,NY,11264,US,40.68133,-73.89919,commercial
ADR-000181,1688 Carroll Bend Way,Apt 19E,Pittsburgh,PA,15216,US,40.48375,-79.99782,residential
ADR-000182,232 Glenhaven Ln,,Pittsburgh,PA,15216,US,40.42714,-79.96695,commercial
ADR-000183,4840 Quarry Lake Pl,,Columbus,OH,43282,US,39.98013,-82.97585,residential
ADR-000184,4831 Ivybridge St,,Boston,MA,02143,US,42.33456,-71.04495,residential
ADR-000185,4182 Pemberly Ct,,Boston,MA,02164,US,42.36433,-71.08848,commercial
ADR-000186,531 Glenhaven St,,Chicago,IL,60612,US,41.93386,-87.64394,residential
ADR-000187,634 Willowmere Dr,,Chicago,IL,60670,US,41.9176,-87.59957,commercial
ADR-000188,4094 Vantage Point Blvd,,Austin,TX,78734,US,30.26585,-97.80255,residential
ADR-000189,3976 Alder Crest St,,Austin,TX,78706,US,30.22951,-97.75073,commercial
ADR-000190,4831 Yarrow Pl,,Westerville,OH,43032,US,40.13532,-82.96945,residential
ADR-000191,2915 Maple Ridge St,,Westerville,OH,43019,US,40.06932,-82.9494,commercial
ADR-000192,1242 Fennimore Way,,Brooklyn,NY,11201,US,40.69762,-73.95997,residential
ADR-000193,2623 Oriel St,Apt 18A,Columbus,OH,43234,US,40.01958,-82.97776,residential
ADR-000194,3690 Yarrow Blvd,,Columbus,OH,43252,US,39.97109,-83.05625,commercial
ADR-000195,1680 Harrowgate Rd,,Pittsburgh,PA,15203,US,40.45318,-79.97201,residential
ADR-000196,505 Pemberly Ct,,Pittsburgh,PA,15211,US,40.42624,-80.02201,commercial
ADR-000197,2854 Juniper Hollow Ave,,Cleveland,OH,44166,US,41.53817,-81.72444,residential
ADR-000198,968 Dovetail St,,Cleveland,OH,44184,US,41.52942,-81.72495,commercial
ADR-000199,2738 Rookwood Rd,Apt 10D,Los Angeles,CA,90021,US,34.00546,-118.28801,residential
ADR-000200,26 Larchmont Rise Ct,,Los Angeles,CA,90062,US,34.10152,-118.20161,commercial
ADR-000201,52 Carroll Bend St,,Brooklyn,NY,11210,US,40.7115,-73.99554,residential
ADR-000202,1805 Yarrow Pl,,Brooklyn,NY,11211,US,40.62882,-73.92351,commercial
ADR-000203,2108 Thistledown Dr,Apt 11A,Cleveland,OH,44174,US,41.45448,-81.69036,residential
ADR-000204,309 Rookwood Pl,,Cleveland,OH,44183,US,41.47199,-81.70558,commercial
ADR-000205,613 Oriel Ave,Apt 21F,Austin,TX,78772,US,30.21749,-97.79333,residential
ADR-000206,545 Ivybridge Dr,,Austin,TX,78757,US,30.28584,-97.74763,commercial
ADR-000207,2666 Norwood Fen Dr,,Denver,CO,80260,US,39.77682,-104.98196,residential
ADR-000208,1151 Saffron Hill St,,Denver,CO,80297,US,39.68378,-105.01332,commercial
ADR-000209,586 Brindle Blvd,,Columbus,OH,43218,US,39.95549,-83.04988,residential
ADR-000210,3013 Zephyr Glen Rd,,Columbus,OH,43228,US,40.01875,-83.0267,commercial
ADR-000211,4753 Juniper Hollow Way,,Columbus,OH,43226,US,39.9619,-82.98413,commercial
ADR-000212,4849 Ivybridge Way,,Denver,CO,80226,US,39.78823,-104.99444,residential
ADR-000213,3680 Norwood Fen Ln,,Denver,CO,80218,US,39.76501,-105.03302,commercial
ADR-000214,2556 Quarry Lake Rd,Apt 3D,Denver,CO,80290,US,39.75522,-104.97221,residential
ADR-000215,3651 Harrowgate Ave,,Chicago,IL,60678,US,41.84155,-87.60989,residential
ADR-000216,1644 Thistledown St,,Chicago,IL,60616,US,41.8416,-87.62732,commercial
ADR-000217,3117 Carroll Bend Ln,,Columbus,OH,43201,US,39.95063,-82.98117,residential
ADR-000218,2972 Yarrow Ln,,Columbus,OH,43222,US,39.90301,-82.94677,commercial
ADR-000219,45 Willowmere Way,,Austin,TX,78713,US,30.27555,-97.68732,residential
ADR-000220,835 Stonebrook Ct,,Austin,TX,78786,US,30.22506,-97.80058,commercial
ADR-000221,2916 Kestrel Run Dr,,Los Angeles,CA,90078,US,34.07603,-118.22804,residential
ADR-000222,4931 Rookwood St,Apt 9A,Chicago,IL,60644,US,41.83003,-87.62502,residential
ADR-000223,2534 Brindle Rd,,Pittsburgh,PA,15258,US,40.49192,-80.00759,residential
ADR-000224,64 Saffron Hill Ave,,Chicago,IL,60631,US,41.932,-87.65463,residential
ADR-000225,3278 Ivybridge Ln,Apt 22D,Chicago,IL,60668,US,41.88247,-87.58275,residential
ADR-000226,3726 Yarrow Pl,,Chicago,IL,60678,US,41.83938,-87.65123,commercial
ADR-000227,2708 Elmsworth Dr,,Brooklyn,NY,11214,US,40.68543,-73.96149,residential
ADR-000228,4455 Zephyr Glen Ln,,Boston,MA,02119,US,42.38574,-71.11337,residential
ADR-000229,2391 Willowmere Blvd,,Boston,MA,02168,US,42.33654,-71.02848,commercial
ADR-000230,40 Willowmere Ln,Apt 13F,Columbus,OH,43202,US,39.9486,-82.9734,residential
ADR-000231,1488 Pemberly Ave,,Brooklyn,NY,11231,US,40.67993,-73.99802,residential
ADR-000232,4127 Saffron Hill Dr,,Brooklyn,NY,11206,US,40.66744,-73.99902,commercial
ADR-000233,3662 Juniper Hollow Pl,,Seattle,WA,98190,US,47.57919,-122.39195,residential
ADR-000234,3571 Copperleaf Ln,,Seattle,WA,98102,US,47.61655,-122.29101,residential
ADR-000235,3820 Pemberly Ct,,Jersey City,NJ,07357,US,40.67433,-74.07759,residential
ADR-000236,2564 Elmsworth Ave,,Jersey City,NJ,07304,US,40.77482,-73.99149,commercial
ADR-000237,4817 Ivybridge Ln,,Jersey City,NJ,07394,US,40.74463,-74.07477,commercial
ADR-000238,4344 Maple Ridge Way,Apt 7D,Austin,TX,78774,US,30.21087,-97.72833,residential
ADR-000239,1739 Zephyr Glen Way,,Austin,TX,78746,US,30.28533,-97.70752,commercial
ADR-000240,3468 Fennimore Pl,,Cleveland,OH,44127,US,41.49807,-81.74195,residential
ADR-000241,4078 Dovetail Rd,,Cleveland,OH,44181,US,41.55695,-81.67679,commercial
ADR-000242,2574 Yarrow Way,,Seattle,WA,98151,US,47.58085,-122.31345,residential
ADR-000243,3814 Ivybridge Blvd,,Seattle,WA,98139,US,47.6281,-122.28571,commercial
ADR-000244,3942 Brindle Ct,Apt 19B,Columbus,OH,43287,US,39.97825,-82.95074,residential
ADR-000245,2348 Larchmont Rise Way,,Columbus,OH,43202,US,39.91744,-82.96751,commercial
ADR-000246,72 Thistledown Ct,,Columbus,OH,43242,US,40.01405,-83.02559,residential
ADR-000247,2007 Fennimore Way,,Columbus,OH,43237,US,39.93438,-82.98158,commercial
ADR-000248,1534 Brindle Rd,,Los Angeles,CA,90033,US,34.05722,-118.25873,residential
ADR-000249,962 Zephyr Glen St,,Los Angeles,CA,90001,US,34.09275,-118.23694,commercial
ADR-000250,416 Kestrel Run Ave,Apt 15C,Seattle,WA,98187,US,47.64032,-122.32358,residential
ADR-000251,2757 Carroll Bend Ln,,Los Angeles,CA,90051,US,33.99683,-118.198,residential
ADR-000252,189 Rookwood Pl,,Los Angeles,CA,90060,US,34.03647,-118.25615,commercial
ADR-000253,2632 Marigold Ave,,Los Angeles,CA,90053,US,34.07115,-118.23265,residential
ADR-000254,3910 Stonebrook Ave,,Los Angeles,CA,90011,US,34.10262,-118.27397,commercial
ADR-000255,2741 Oriel Blvd,,Columbus,OH,43287,US,39.99575,-83.03248,residential
ADR-000256,2001 Norwood Fen Rd,,Columbus,OH,43223,US,39.99634,-82.99325,commercial
ADR-000257,4556 Stonebrook Dr,,Brooklyn,NY,11288,US,40.66824,-73.9318,residential
ADR-000258,3982 Stonebrook St,,Chicago,IL,60671,US,41.8426,-87.61799,residential
ADR-000259,2614 Glenhaven Rd,,Chicago,IL,60636,US,41.91364,-87.61461,commercial
ADR-000260,3909 Carroll Bend Ln,,Columbus,OH,43252,US,40.012,-82.93883,residential
ADR-000261,755 Willowmere St,,Jersey City,NJ,07372,US,40.75606,-74.06473,residential
ADR-000262,275 Willowmere Rd,,Jersey City,NJ,07369,US,40.65988,-74.06705,commercial
ADR-000263,4867 Glenhaven Rd,,Boston,MA,02123,US,42.38581,-71.09073,residential
ADR-000264,4807 Vantage Point Ln,Apt 2E,Cleveland,OH,44132,US,41.55324,-81.75129,residential
ADR-000265,1173 Rookwood St,,Cleveland,OH,44149,US,41.43972,-81.65646,commercial
ADR-000266,771 Thistledown Way,Apt 12D,Austin,TX,78799,US,30.27038,-97.79122,residential
ADR-000267,2565 Saffron Hill Blvd,,Columbus,OH,43273,US,39.9818,-83.05298,residential
ADR-000268,1969 Juniper Hollow St,,Columbus,OH,43285,US,39.9223,-82.98907,commercial
ADR-000269,761 Marigold Pl,,Los Angeles,CA,90001,US,34.00231,-118.27651,residential
ADR-000270,4214 Rookwood Pl,,Cleveland,OH,44187,US,41.53055,-81.7408,residential
ADR-000271,4257 Zephyr Glen Ave,,Cleveland,OH,44128,US,41.50234,-81.73345,commercial
ADR-000272,2756 Alder Crest Ave,,Cleveland,OH,44155,US,41.44405,-81.64976,commercial
ADR-000273,3599 Juniper Hollow Ln,,Columbus,OH,43281,US,39.94981,-83.01087,residential
ADR-000274,3432 Wharfside Blvd,,Columbus,OH,43262,US,39.93509,-82.95001,commercial
ADR-000275,2270 Fennimore Ln,,Cleveland,OH,44178,US,41.50435,-81.72562,residential
ADR-000276,1596 Fennimore Way,,Seattle,WA,98159,US,47.62439,-122.36893,residential
ADR-000277,3463 Willowmere Ct,,Westerville,OH,43048,US,40.1179,-82.8746,residential
ADR-000278,422 Oriel Way,,Denver,CO,80287,US,39.75613,-105.02509,residential
ADR-000279,2966 Marigold Way,,Denver,CO,80216,US,39.73446,-105.02911,commercial
ADR-000280,371 Wharfside St,,Columbus,OH,43286,US,39.92761,-83.02527,residential
ADR-000281,3446 Glenhaven Dr,,Columbus,OH,43245,US,39.97325,-83.00446,residential
ADR-000282,887 Stonebrook Pl,,Columbus,OH,43243,US,39.97537,-83.02248,commercial
ADR-000283,1949 Oriel Ave,,Columbus,OH,43220,US,39.99341,-83.05071,residential
ADR-000284,4805 Kestrel Run Ln,,Chicago,IL,60664,US,41.8942,-87.60236,residential
