merchant_id,descriptor,first_seen,last_seen,note
MER-00100,NORTHSTAR GAS #4 OH,2019-05-01,,primary
MER-00101,PINEGROVE FUEL #25 OH,2019-05-01,,primary
MER-00102,NORTHSTAR GAS #27 OH,2019-05-01,,primary
MER-00103,PINEGROVE FUEL #7 PA,2019-05-01,,primary
MER-00104,NORTHSTAR GAS #23 PA,2019-05-01,,primary
MER-00105,PINEGROVE FUEL #19 MA,2019-05-01,,primary
MER-00106,NORTHSTAR GAS #19 MA,2019-05-01,,primary
MER-00107,PINEGROVE FUEL #25 NY,2019-05-01,,primary
MER-00108,NORTHSTAR GAS #46 NY,2019-05-01,,primary
MER-00109,PINEGROVE FUEL #22 NJ,2019-05-01,,primary
MER-00110,NORTHSTAR GAS #24 NJ,2019-05-01,,primary
MER-00111,PINEGROVE FUEL #13 IL,2019-05-01,,primary
MER-00112,NORTHSTAR GAS #33 IL,2019-05-01,,primary
MER-00113,PINEGROVE FUEL #47 TX,2019-05-01,,primary
MER-00114,NORTHSTAR GAS #7 TX,2019-05-01,,primary
MER-00115,PINEGROVE FUEL #12 CO,2019-05-01,,primary
MER-00116,NORTHSTAR GAS #32 CO,2019-05-01,,primary
MER-00117,PINEGROVE FUEL #41 CA,2019-05-01,,primary
MER-00118,NORTHSTAR GAS #2 CA,2019-05-01,,primary
MER-00119,PINEGROVE FUEL #26 WA,2019-05-01,,primary
MER-00120,NORTHSTAR GAS #39 WA,2019-05-01,,primary
MER-00121,WELLSPRING PHARMAC OH,2019-05-01,,primary
MER-00122,WELLSPRING PHARMAC OH,2019-05-01,,primary
MER-00123,WELLSPRING PHARMAC OH,2019-05-01,,primary
MER-00124,WELLSPRING PHARMAC PA,2019-05-01,,primary
MER-00125,WELLSPRING PHARMAC MA,2019-05-01,,primary
MER-00126,WELLSPRING PHARMAC NY,2019-05-01,,primary
MER-00127,WELLSPRING PHARMAC NJ,2019-05-01,,primary
MER-00128,WELLSPRING PHARMAC IL,2019-05-01,,primary
MER-00129,WELLSPRING PHARMAC TX,2019-05-01,,primary
MER-00130,WELLSPRING PHARMAC CO,2019-05-01,,primary
MER-00131,WELLSPRING PHARMAC CA,2019-05-01,,primary
MER-00132,WELLSPRING PHARMAC WA,2019-05-01,,primary
MER-00133,METRO POWER & LIGH OH,2019-05-01,,primary
MER-00134,METRO POWER & LIGH OH,2019-05-01,,primary
MER-00135,METRO POWER & LIGH OH,2019-05-01,,primary
MER-00136,METRO POWER & LIGH PA,2019-05-01,,primary
MER-00137,METRO POWER & LIGH MA,2019-05-01,,primary
MER-00138,METRO POWER & LIGH NY,2019-05-01,,primary
MER-00139,METRO POWER & LIGH NJ,2019-05-01,,primary
MER-00140,METRO POWER & LIGH IL,2019-05-01,,primary
MER-00141,METRO POWER & LIGH TX,2019-05-01,,primary
MER-00142,METRO POWER & LIGH CO,2019-05-01,,primary
MER-00143,METRO POWER & LIGH CA,2019-05-01,,primary
MER-00144,METRO POWER & LIGH WA,2019-05-01,,primary
MER-00145,PEAKFORM FITNESS OH,2019-05-01,,primary
MER-00146,PEAKFORM FITNESS OH,2019-05-01,,primary
MER-00147,PEAKFORM FITNESS OH,2019-05-01,,primary
MER-00148,PEAKFORM FITNESS PA,2019-05-01,,primary
MER-00149,PEAKFORM FITNESS MA,2019-05-01,,primary
MER-00150,PEAKFORM FITNESS NY,2019-05-01,,primary
MER-00151,PEAKFORM FITNESS NJ,2019-05-01,,primary
MER-00152,PEAKFORM FITNESS IL,2019-05-01,,primary
MER-00153,PEAKFORM FITNESS TX,2019-05-01,,primary
MER-00154,PEAKFORM FITNESS CO,2019-05-01,,primary
MER-00155,PEAKFORM FITNESS CA,2019-05-01,,primary
MER-00156,PEAKFORM FITNESS WA,2019-05-01,,primary
MER-00157,CARTWHEEL GOODS,2019-05-01,,primary
MER-00158,NOOKERY,2019-05-01,,primary
MER-00159,BRAMBLE & BOX,2019-05-01,,primary
MER-00160,FERNTREE SUPPLY,2019-05-01,,primary
MER-00161,HATCHMARK,2019-05-01,,primary
MER-00162,CIRCUITRY LOFT,2019-05-01,,primary
MER-00163,PIXELWAVE ELECTRONICS,2019-05-01,,primary
MER-00164,VOLTCART ONLINE,2019-05-01,,primary
MER-00165,LOOMHOUSE APPAREL,2019-05-01,,primary
MER-00166,THREADLINE CO,2019-05-01,,primary
MER-00167,NORTHWEAVE,2019-05-01,,primary
MER-00168,SOLEWRIGHT,2019-05-01,,primary
MER-00169,PACELINE SHOES,2019-05-01,,primary
MER-00170,HEARTH & HOLLOW,2019-05-01,,primary
MER-00171,LINENWORKS,2019-05-01,,primary
MER-00172,INKWELL BOOKS DIGITAL,2019-05-01,,primary
MER-00173,TUNEWELL MUSIC,2019-05-01,,primary
MER-00174,SPARKDEN GAMES,2019-05-01,,primary
MER-00175,VOIDLINE MEDIA,2019-05-01,,primary
MER-00176,CINDERBOX GAMES,2019-05-01,,primary
MER-00177,QUILLSOFT APPS,2019-05-01,,primary
MER-00178,TASKHAVEN,2019-05-01,,primary
MER-00179,STREAMNEST,2019-05-01,,primary
MER-00180,REELHAVEN+,2019-05-01,,primary
MER-00181,SONORA AUDIO,2019-05-01,,primary
MER-00182,CRATEFUL,2019-05-01,,primary
MER-00183,SPROUT MEAL KITS,2019-05-01,,primary
MER-00184,PAWCRATE CLUB,2019-05-01,,primary
MER-00185,RELAYWAVE MOBILE,2019-05-01,,primary
MER-00186,RIDEHOP,2019-05-01,,primary
MER-00187,BLUECREST AIRWAYS,2019-05-01,,primary
MER-00188,MERIDIA AIR,2019-05-01,,primary
MER-00189,CEDARLINE INN,2019-05-01,,primary
MER-00190,PORTWOOD SUITES,2019-05-01,,primary
MER-00191,THE ALDER HOUSE,2019-05-01,,primary
MER-00192,STAGEPASS TICKETS,2019-05-01,,primary
MER-00193,FOXGLOVE & FINCH OH,2019-05-01,,primary
MER-00194,FOXGLOVE & FINCH OH,2019-05-01,,primary
MER-00195,FOXGLOVE & FINCH OH,2019-05-01,,primary
MER-00196,FOXGLOVE & FINCH PA,2019-05-01,,primary
MER-00197,FOXGLOVE & FINCH MA,2019-05-01,,primary
MER-00198,FOXGLOVE & FINCH NY,2019-05-01,,primary
MER-00199,FOXGLOVE & FINCH NJ,2019-05-01,,primary
MER-00200,FOXGLOVE & FINCH IL,2019-05-01,,primary
MER-00201,FOXGLOVE & FINCH TX,2019-05-01,,primary
MER-00202,FOXGLOVE & FINCH CO,2019-05-01,,primary
MER-00203,FOXGLOVE & FINCH CA,2019-05-01,,primary
MER-00204,FOXGLOVE & FINCH WA,2019-05-01,,primary
MER-00205,GIFTLANE CARDS,2019-05-01,,primary
MER-90001,OAKHOLLOW FURNITURE CO,2021-04-02,,primary
MER-90002,BLUEFERN COFFEE ROASTERS,2018-09-10,2026-09-02,primary
MER-90002,TAPR* BLUEFERN CAFE BOSTON,2026-09-03,,payment facilitator migration (Tapr) — new descriptor
MER-90003,GLYPHSTACK FONTS,2020-01-15,,primary
MER-90004,PARCELWICK HOME 888-555-0142,2017-06-01,,primary
MER-90005,LARKSPUR HOTEL NASHVILLE,2016-03-01,,primary
MER-90006,LUMAFIT+ 855-555-0171,2023-02-01,,primary
MER-90007,AZULEJO ATELIER LISBOA PT,2019-11-11,,primary
MER-90008,PINEGROVE FUEL #22 CLEVELAND OH,2015-07-01,,primary
MER-90009,NEBULA FORGE*GAMES,2019-02-01,,primary
MER-90010,NEBULA FORGE*ARCADE,2022-06-01,,primary
MER-90011,PIXELHOLLOW*SKYFALL,2020-08-01,,primary
MER-90012,ORBITAL AUDIO,2018-01-01,,primary
MER-90013,KESTREL OUTDOOR SUPPLY,2017-01-01,,primary
MER-90014,STRIDEVAULT.EXAMPLE,2020-03-01,,primary
MER-90015,KINETIC THREADS,2019-03-01,,primary
MER-90016,SKYLARK AIR 0192,2014-01-01,,primary
MER-90017,HARBOR AND VINE HOTEL NY,2012-05-01,,primary
MER-90018,IRONWOOD ATHLETIC CLUB,2011-01-01,,primary
MER-90019,RENEWTEK OUTLET,2023-05-01,,primary
MER-90020,GATEWAY TIX*AURORA VALE,2016-02-01,,primary
MER-90021,HARBORLANE MARKET,2015-01-01,,primary
MER-90021,HLM*<SELLER> <ITEM>,2024-01-01,,marketplace sub-merchant pattern
MER-90021,HLM*REFUND <ORDER4>,2024-01-01,,refund descriptor; no seller name
MER-90022,VELVET LOOM CO,2025-02-01,,primary
MER-90023,QUILLMARK PRINT,2021-03-01,,primary
MER-90024,QUILLMARK PRINTING LLC,2019-06-01,,primary
